window	context	chr	Average_Methylation	CI_low	CI_high	sex	Allele
1	CG	X	0.797746006612956	0.792310001645792	0.803101291088658	Female	XX in female
2	CG	X	0.80514385353095	0.799673964316356	0.810527686438234	Female	XX in female
3	CG	X	0.819255180138137	0.814036371035125	0.824387233564169	Female	XX in female
4	CG	X	0.816468622354252	0.811233798667417	0.82161791498488	Female	XX in female
5	CG	X	0.797024547483263	0.791405658080712	0.80255767420915	Female	XX in female
6	CG	X	0.818030288598914	0.812744100924404	0.823228279844986	Female	XX in female
7	CG	X	0.782875022034197	0.777452633593312	0.788224862592029	Female	XX in female
8	CG	X	0.753957815772809	0.748006022481699	0.759837612984202	Female	XX in female
9	CG	X	0.785707621979662	0.780152994766741	0.791184674877391	Female	XX in female
10	CG	X	0.753061033741471	0.747225608150662	0.758827638937801	Female	XX in female
11	CG	X	0.770590196732244	0.764841533349772	0.776263838927461	Female	XX in female
12	CG	X	0.825140657388215	0.819839278161813	0.830348574247976	Female	XX in female
13	CG	X	0.801398252184769	0.795804122796153	0.806904741645843	Female	XX in female
14	CG	X	0.827311073842557	0.821956181086729	0.832569071488998	Female	XX in female
15	CG	X	0.80535786905246	0.799754796317693	0.810870548392746	Female	XX in female
16	CG	X	0.817872753763963	0.812239190092391	0.82340639162383	Female	XX in female
17	CG	X	0.81941018766756	0.813812873378484	0.824907733408478	Female	XX in female
18	CG	X	0.853273731264791	0.848164258772941	0.858274922969951	Female	XX in female
19	CG	X	0.813273400317292	0.807644720458614	0.818805585857148	Female	XX in female
20	CG	X	0.440213319229583	0.433740019756482	0.446701939965754	Female	XX in female
21	CG	X	0.0726037762410037	0.0704834283230067	0.0747678954582651	Female	XX in female
22	CG	X	0.223512514669049	0.220100641749015	0.226952514938583	Female	XX in female
23	CG	X	0.408398472197549	0.403853517890677	0.412955239164029	Female	XX in female
24	CG	X	0.554925584691708	0.55017581980886	0.559667813937564	Female	XX in female
25	CG	X	0.638228461272305	0.633524335225386	0.642912743480268	Female	XX in female
26	CG	X	0.699690239932798	0.695058843605674	0.704291178616846	Female	XX in female
27	CG	X	0.736749609462174	0.732157701098242	0.741303134869302	Female	XX in female
28	CG	X	0.762915326902465	0.75856670368334	0.767223003781418	Female	XX in female
29	CG	X	0.781170628692104	0.776804168556373	0.785490439807327	Female	XX in female
30	CG	X	0.806063982174121	0.802036011045331	0.810044751383301	Female	XX in female
31	CG	X	0.822254827468756	0.818381895728782	0.826078665001271	Female	XX in female
32	CG	X	0.814839885446498	0.810918613717058	0.818713500089626	Female	XX in female
33	CG	X	0.811797178491106	0.807888373168371	0.81565965647731	Female	XX in female
34	CG	X	0.805520865854928	0.801527948009136	0.809467572374991	Female	XX in female
35	CG	X	0.806902935731288	0.802887484532135	0.810871195790007	Female	XX in female
36	CG	X	0.791687193714834	0.787599355649986	0.79573106785199	Female	XX in female
37	CG	X	0.773912836162502	0.769878923733382	0.777908798533287	Female	XX in female
38	CG	X	0.76527896697753	0.761253638303603	0.769268624951398	Female	XX in female
39	CG	X	0.725254854094618	0.721069316026421	0.729410814039492	Female	XX in female
40	CG	X	0.52724700918223	0.522442034983034	0.532048189659015	Female	XX in female
41	CG	X	0.560301507537688	0.554131248395103	0.566457786338853	Female	XX in female
42	CG	X	0.652374698131593	0.646259727337184	0.658452128849909	Female	XX in female
43	CG	X	0.593963553530752	0.588003817720323	0.599902552991039	Female	XX in female
44	CG	X	0.620143884892086	0.614010003178146	0.626249050050438	Female	XX in female
45	CG	X	0.654733620585511	0.648782167952951	0.660648843961283	Female	XX in female
46	CG	X	0.651327282798585	0.645190625682162	0.657426444663035	Female	XX in female
47	CG	X	0.624939681518417	0.618888016106995	0.63096213722025	Female	XX in female
48	CG	X	0.642960812772134	0.636786540713649	0.649099598300832	Female	XX in female
49	CG	X	0.659443382196728	0.653348288230656	0.665499079960177	Female	XX in female
50	CG	X	0.693502172104631	0.687310416357792	0.699641907555346	Female	XX in female
51	CG	X	0.708305470108332	0.702308084294327	0.714248836618089	Female	XX in female
52	CG	X	0.745606080234918	0.739944500273765	0.751205956267601	Female	XX in female
53	CG	X	0.747026347681673	0.741263620033314	0.752724561985931	Female	XX in female
54	CG	X	0.742068208832404	0.736215692206347	0.74785633562653	Female	XX in female
55	CG	X	0.718984446477585	0.712974074293482	0.724936539747886	Female	XX in female
56	CG	X	0.690571693040067	0.684510404339782	0.696584124273732	Female	XX in female
57	CG	X	0.700910715805601	0.695010688422678	0.706761014604806	Female	XX in female
58	CG	X	0.711525394937999	0.705691748579804	0.717306794191195	Female	XX in female
59	CG	X	0.716780400966388	0.710983496745897	0.7225238610314	Female	XX in female
60	CG	X	0.731170082326152	0.725368763618242	0.736912510768964	Female	XX in female
1	CHG	X	0.43543921469922	0.428529096010875	0.442368235847135	Female	XX in female
2	CHG	X	0.446600458365164	0.439629701715624	0.45358703299115	Female	XX in female
3	CHG	X	0.474786695958719	0.467769546343322	0.48181133779454	Female	XX in female
4	CHG	X	0.487533676218467	0.480654776834556	0.49441612686726	Female	XX in female
5	CHG	X	0.47862075969937	0.471621844162134	0.48562598966085	Female	XX in female
6	CHG	X	0.471012497935363	0.463730824200217	0.478303455758784	Female	XX in female
7	CHG	X	0.458544932656216	0.451268612671524	0.465834564475575	Female	XX in female
8	CHG	X	0.417704668631739	0.411027757812537	0.424404332792395	Female	XX in female
9	CHG	X	0.491305503855358	0.484135501267049	0.498478195796285	Female	XX in female
10	CHG	X	0.485134800890428	0.478223097175635	0.492050781229265	Female	XX in female
11	CHG	X	0.472550226649505	0.465207188974296	0.479902200905084	Female	XX in female
12	CHG	X	0.505522465737582	0.498041431308089	0.513001642246154	Female	XX in female
13	CHG	X	0.503998588733388	0.496454490689335	0.51154131877446	Female	XX in female
14	CHG	X	0.522923931292781	0.515021275916946	0.530817972008193	Female	XX in female
15	CHG	X	0.514669051878354	0.507073015381016	0.522259998964889	Female	XX in female
16	CHG	X	0.559134037150875	0.55113539186971	0.567109685316569	Female	XX in female
17	CHG	X	0.56507124588966	0.556715710678502	0.573399099233543	Female	XX in female
18	CHG	X	0.618492176386913	0.610403521642638	0.626531765900034	Female	XX in female
19	CHG	X	0.564033310826019	0.555564203046469	0.572474448711553	Female	XX in female
21	CHG	X	0.0258689661303227	0.024421746659293	0.0273777899967712	Female	XX in female
22	CHG	X	0.0465391330467269	0.0447656229446493	0.0483622623375229	Female	XX in female
23	CHG	X	0.0666123253653821	0.0644989250270853	0.0687735607008192	Female	XX in female
24	CHG	X	0.0776732184867572	0.0754020240723478	0.0799910482967085	Female	XX in female
25	CHG	X	0.0927769501871162	0.0903657742419257	0.0952311609757157	Female	XX in female
26	CHG	X	0.0816954592655527	0.079376356243638	0.0840605230908118	Female	XX in female
27	CHG	X	0.0661718455151592	0.0641200852909658	0.0682689962382657	Female	XX in female
28	CHG	X	0.0787033785207558	0.0765045148312122	0.0809452899492547	Female	XX in female
29	CHG	X	0.0705782028559008	0.0685380532593783	0.0726601392868379	Female	XX in female
30	CHG	X	0.066658850721021	0.0646708619855395	0.0686890838527701	Female	XX in female
31	CHG	X	0.0680361629039701	0.066008791207509	0.0701065041403884	Female	XX in female
32	CHG	X	0.0687214918164744	0.0667036707876643	0.070781405936946	Female	XX in female
33	CHG	X	0.0588376792071587	0.0570032438072891	0.0607133015810043	Female	XX in female
34	CHG	X	0.0526342443322811	0.0508495577576391	0.0544629163652982	Female	XX in female
35	CHG	X	0.0489797205664364	0.0473127020776906	0.0506881643610092	Female	XX in female
36	CHG	X	0.0540065934430032	0.0522166426492443	0.0558395726083512	Female	XX in female
37	CHG	X	0.0563226625850783	0.0545121783438401	0.0581752121270815	Female	XX in female
38	CHG	X	0.0434230534087881	0.0418544456401979	0.0450333633535798	Female	XX in female
39	CHG	X	0.0571151984511133	0.0553716395224908	0.0588971524140766	Female	XX in female
40	CHG	X	0.0451261187957689	0.04349824854057	0.0467971184969272	Female	XX in female
41	CHG	X	0.109348332040341	0.105563630801921	0.11322133590041	Female	XX in female
42	CHG	X	0.180654515327258	0.175819158341052	0.185566877405718	Female	XX in female
43	CHG	X	0.232038909313726	0.226929700796635	0.23720781148423	Female	XX in female
44	CHG	X	0.241088141092301	0.235691903774886	0.246547033278606	Female	XX in female
45	CHG	X	0.235281992084433	0.229955277893835	0.24067219967495	Female	XX in female
46	CHG	X	0.249907986750092	0.244490890394535	0.255384577863158	Female	XX in female
47	CHG	X	0.245959871965025	0.240695828188451	0.251281596508743	Female	XX in female
48	CHG	X	0.259613862952999	0.254217067021506	0.265065974941247	Female	XX in female
49	CHG	X	0.249110632878036	0.243503254164785	0.254782121915343	Female	XX in female
50	CHG	X	0.267120663971058	0.261470887411642	0.272828098827131	Female	XX in female
51	CHG	X	0.287127451812856	0.281355017475505	0.292952452932862	Female	XX in female
52	CHG	X	0.295587807210879	0.289824671566358	0.301400381155347	Female	XX in female
53	CHG	X	0.307276135298628	0.301376990635397	0.313223029319228	Female	XX in female
54	CHG	X	0.285398327951519	0.279517231812897	0.291334643639005	Female	XX in female
55	CHG	X	0.29243937232525	0.286582315995501	0.298348617357356	Female	XX in female
56	CHG	X	0.264064788489705	0.258402215367962	0.269786486410643	Female	XX in female
57	CHG	X	0.277961698026233	0.272284004871368	0.283693512276672	Female	XX in female
58	CHG	X	0.292396228725358	0.286705143671114	0.298136592207192	Female	XX in female
