"chr","window","fst","mid","start","snp","scaff","seq.len","chr.type"
"1",1,1,0.160723773223122,2854734,354734,368,45,5516,"Autosomes"
"2",1,2,0.235605763498229,7854734,5354734,387,47,5791,"Autosomes"
"3",1,3,0.276813676219755,12854734,10354734,195,29,3596,"Autosomes"
"4",1,4,0.288925061299992,17854734,15354734,281,30,3794,"Autosomes"
"5",1,5,0.295436775519341,22854734,20354734,213,26,3222,"Autosomes"
"6",1,6,0.268690259190828,27854734,25354734,207,22,2668,"Autosomes"
"7",1,7,0.377071544855158,32854734,30354734,301,31,3925,"Autosomes"
"8",1,8,0.306264864144136,37854734,35354734,234,32,4057,"Autosomes"
"9",1,9,0.417977566313347,42854734,40354734,196,23,2922,"Autosomes"
"10",1,10,0.473840743894804,47854734,45354734,290,32,4006,"Autosomes"
"11",1,11,0.401722241350082,52854734,50354734,272,33,4070,"Autosomes"
"12",1,12,0.383917992201235,57854734,55354734,406,46,5694,"Autosomes"
"13",1,13,0.402739720047394,62854734,60354734,132,13,1569,"Autosomes"
"14",1,14,0.330033649265371,67854734,65354734,152,16,1931,"Autosomes"
"15",1,15,0.444277798762336,72854734,70354734,324,39,4777,"Autosomes"
"16",1,16,0.318675018122832,77854734,75354734,120,24,2926,"Autosomes"
"17",1,17,0.25120220139157,82854734,80354734,234,33,4278,"Autosomes"
"18",1,18,0.468347372576782,87854734,85354734,174,19,2428,"Autosomes"
"19",1,19,0.432064455035121,92854734,90354734,204,26,3130,"Autosomes"
"20",1,20,0.530372654480802,97854734,95354734,167,21,2562,"Autosomes"
"21",1,21,0.453582538270967,102854734,100354734,261,29,3605,"Autosomes"
"22",1,22,0.42954753968711,107854734,105354734,227,28,3537,"Autosomes"
"23",1,23,0.45595084297316,112854734,110354734,194,26,3183,"Autosomes"
"24",1,24,0.439551662691044,117854734,115354734,201,28,3380,"Autosomes"
"25",1,25,0.35399280192985,122854734,120354734,148,21,2580,"Autosomes"
