"set" "map" "mkr" "phys" "gen" "vld" "recombinationRate"
"slat_f" "chr1" "rsf100051656" 295565 0.1 TRUE NA
"slat_f" "chr1" "rsf100060859" 323134 0.21 TRUE 3.76
"slat_f" "chr1" "rsf100052743" 562544 0.73 TRUE 3.79
"slat_f" "chr1" "rsf100028038" 887123 1.46 TRUE 3.83
"slat_f" "chr1" "rsf100153517" 895995 1.57 TRUE 3.83
"slat_f" "chr1" "rsf100153518" 897521 1.67 TRUE 3.83
"slat_f" "chr1" "rsf100149844" 949073 1.98 TRUE 3.83
"slat_f" "chr1" "rsf100078196" 1264583 2.4 TRUE 3.88
"slat_f" "chr1" "rsf100032024" 1403749 3.03 TRUE 3.9
"slat_f" "chr1" "rsf100068953" 1668284 3.34 TRUE 3.93
"slat_f" "chr1" "rsf100068950" 1669193 3.34 TRUE 3.93
"slat_f" "chr1" "rsf100068947" 1669607 3.34 TRUE 3.93
"slat_f" "chr1" "rsf100068945" 1670127 3.34 TRUE 3.93
"slat_f" "chr1" "rsf100028898" 1836250 3.87 TRUE 3.96
"slat_f" "chr1" "rsf100028915" 1842938 3.87 TRUE 3.96
"slat_f" "chr1" "rsf100028918" 1844387 3.87 TRUE 3.96
"slat_f" "chr1" "rsf100028927" 1855187 3.87 TRUE 3.96
"slat_f" "chr1" "rsf100148149" 2014579 4.71 TRUE 3.97
"slat_f" "chr1" "rsf100165426" 2255573 5.33 TRUE 3.99
"slat_f" "chr1" "rsf100001680" 2337460 5.75 TRUE 4
"slat_f" "chr1" "rsf100045949" 2357219 5.75 TRUE 4
"slat_f" "chr1" "rsf100094204" 2570158 6.06 TRUE 4.02
"slat_f" "chr1" "rsf100028179" 2784418 7.54 TRUE 4.03
"slat_f" "chr1" "rsf100028187" 2787183 7.54 TRUE 4.03
"slat_f" "chr1" "rsf100028188" 2787580 7.54 TRUE 4.03
"slat_f" "chr1" "rsf100028192" 2789892 7.54 TRUE 4.03
"slat_f" "chr1" "rsf100028198" 2796660 7.54 TRUE 4.04
"slat_f" "chr1" "rsf100052507" 2881781 8.38 TRUE 4.04
"slat_f" "chr1" "rsf100181369" 2893712 8.49 TRUE 4.04
"slat_f" "chr1" "rsf100072233" 3163589 9.86 TRUE 4.06
"slat_f" "chr1" "rsf100159238" 3227764 9.96 TRUE 4.08
"slat_f" "chr1" "rsf100037808" 3862177 13.52 TRUE 4.18
"slat_f" "chr1" "rsf100037806" 3871123 13.52 TRUE 4.18
"slat_f" "chr1" "rsf100037798" 3873963 13.52 TRUE 4.18
"slat_f" "chr1" "rsf100037792" 3881094 13.62 TRUE 4.18
"slat_f" "chr1" "rsf100037790" 3884877 13.83 TRUE 4.18
"slat_f" "chr1" "rsf100037787" 3885671 13.83 TRUE 4.18
"slat_f" "chr1" "rsf100037784" 3886600 13.83 TRUE 4.18
"slat_f" "chr1" "rsf100188427" 4069977 14.78 TRUE 4.18
"slat_f" "chr1" "rsf100042635" 4346216 15.83 TRUE 4.17
"slat_f" "chr1" "rsf100042625" 4361248 15.83 TRUE 4.17
"slat_f" "chr1" "rsf100042622" 4362115 15.83 TRUE 4.17
"slat_f" "chr1" "rsf100042620" 4362390 15.83 TRUE 4.17
"slat_f" "chr1" "rsf100065753" 4453754 16.25 TRUE 4.16
"slat_f" "chr1" "rsf100065759" 4458129 16.35 TRUE 4.15
"slat_f" "chr1" "rsf100065760" 4458198 16.35 TRUE 4.15
"slat_f" "chr1" "rsf100065765" 4460538 16.66 TRUE 4.16
"slat_f" "chr1" "rsf100044176" 4964057 17.82 TRUE 4.33
"slat_f" "chr1" "rsf100044187" 4968357 17.82 TRUE 4.33
"slat_f" "chr1" "rsf100044190" 4969096 17.82 TRUE 4.33
"slat_f" "chr1" "rsf100044192" 4970194 17.82 TRUE 4.33
"slat_f" "chr1" "rsf100044198" 4972635 17.71 TRUE 4.33
"slat_f" "chr1" "rsf100044201" 4973403 17.82 TRUE 4.33
"slat_f" "chr1" "rsf100044205" 4974282 17.82 TRUE 4.33
"slat_f" "chr1" "rsf100009673" 5435216 19.19 TRUE 4.15
"slat_f" "chr1" "rsf100009675" 5437654 19.29 TRUE 4.15
"slat_f" "chr1" "rsf100009677" 5437801 19.29 TRUE 4.15
"slat_f" "chr1" "rsf100009681" 5439881 19.29 TRUE 4.15
"slat_f" "chr1" "rsf100009683" 5443607 19.4 TRUE 4.14
"slat_f" "chr1" "rsf100009685" 5447138 19.4 TRUE 4.14
"slat_f" "chr1" "rsf100009687" 5464309 19.6 TRUE 4.14
"slat_f" "chr1" "rsf100122399" 5932051 20.76 TRUE 4.22
"slat_f" "chr1" "rsf100059484" 6098757 21.39 TRUE 4.23
"slat_f" "chr1" "rsf100069973" 6481132 22.23 TRUE 4.22
"slat_f" "chr1" "rsf100042860" 6613148 23.39 TRUE 4.21
"slat_f" "chr1" "rsf100101121" 6644078 23.6 TRUE 4.21
"slat_f" "chr1" "rsf100026881" 6816201 24.01 TRUE 4.18
"slat_f" "chr1" "rsf100026882" 6816265 24.01 TRUE 4.18
"slat_f" "chr1" "rsf100026892" 6873590 24.22 TRUE 4.17
"slat_f" "chr1" "rsf100118649" 7059483 24.96 TRUE 4.13
"slat_f" "chr1" "rsf100015395" 7456280 26.97 TRUE 4
"slat_f" "chr1" "rsf100015401" 7473610 27.08 TRUE 4
"slat_f" "chr1" "rsf100015409" 7476277 27.08 TRUE 4
"slat_f" "chr1" "rsf100106628" 7490971 27.08 TRUE 3.99
"slat_f" "chr1" "rsf100065370" 7856436 30.9 TRUE 3.83
"slat_f" "chr1" "rsf100078388" 8066486 32.06 TRUE 3.94
"slat_f" "chr1" "rsf100069760" 8164027 32.16 TRUE 3.97
"slat_f" "chr1" "rsf100069766" 8167579 32.16 TRUE 3.97
"slat_f" "chr1" "rsf100069768" 8168044 32.16 TRUE 3.97
"slat_f" "chr1" "rsf100069781" 8184429 32.26 TRUE 3.98
"slat_f" "chr1" "rsf100140764" 8228051 32.26 TRUE 3.99
"slat_f" "chr1" "rsf100006193" 8481417 32.79 TRUE 4.01
"slat_f" "chr1" "rsf100054744" 9950881 37.27 TRUE 2.75
"slat_f" "chr1" "rsf100041056" 9966521 37.27 TRUE 2.73
"slat_f" "chr1" "rsf100001929" 10153082 37.79 TRUE 2.4
"slat_f" "chr1" "rsf100001927" 10155657 37.79 TRUE 2.39
"slat_f" "chr1" "rsf100001917" 10158355 37.79 TRUE 2.39
"slat_f" "chr1" "rsf100001910" 10162308 37.79 TRUE 2.38
"slat_f" "chr1" "rsf100001907" 10168696 38 TRUE 2.37
"slat_f" "chr1" "rsf100001905" 10169041 38 TRUE 2.37
"slat_f" "chr1" "rsf100001901" 10170549 38 TRUE 2.36
"slat_f" "chr1" "rsf100001899" 10170775 38 TRUE 2.36
"slat_f" "chr1" "rsf100001891" 10176333 38 TRUE 2.35
"slat_f" "chr1" "rsf100001878" 10207782 38 TRUE 2.3
"slat_f" "chr1" "rsf100001877" 10207857 38 TRUE 2.3
"slat_f" "chr1" "rsf100001871" 10209001 38 TRUE 2.3
"slat_f" "chr1" "rsf100001869" 10210162 38 TRUE 2.3
"slat_f" "chr1" "rsf100001868" 10210295 38 TRUE 2.3
"slat_f" "chr1" "rsf100038271" 10341396 40.3 TRUE 2.12
"slat_f" "chr1" "rsf100038278" 10343724 40.3 TRUE 2.11
"slat_f" "chr1" "rsf100038285" 10348361 40.3 TRUE 2.11
"slat_f" "chr1" "rsf100038290" 10350541 40.3 TRUE 2.11
"slat_f" "chr1" "rsf100116495" 10490021 40.3 TRUE 1.99
"slat_f" "chr1" "rsf100024403" 10707591 39.46 TRUE 1.94
"slat_f" "chr1" "rsf100062929" 10746445 39.36 TRUE 1.95
"slat_f" "chr1" "rsf100046290" 10872129 38.94 TRUE 1.71
"slat_f" "chr1" "rsf100069439" 11048365 38.94 TRUE 1.41
"slat_f" "chr1" "rsf100069434" 11052240 38.94 TRUE 1.4
