name_gene_X chr_X start_X stop_X strand_X name_gene_Y chr_Y start_Y stop_Y strand_Y name_gene_conica chr_conica start_conica stop_conica strand_conica name_gene_vulgaris chr_vulgaris start_vulgaris stop_vulgaris strand_vulgaris gene_number synteny_Y synteny_con synteny_vulg strata
_chr12_005095.1 chrX 48638 53196 - _scaffold_1_003878.1 chrY 373368070 373373384 + Sconica_v3_24709-RA Chr05 6764957 6769861 - Silene_vulgaris_scaffold_1_000517.1 scaffold_1 11867313 11872517 + 1 2 4 4 S1a
_chr12_000001.1 chrX 55633 59340 + _scaffold_1_003879.1 chrY 373375663 373380978 + Sconica_v3_24708-RA Chr05 6758854 6764165 - FUN_001117-T1 scaffold_1 11873021 11877554 + 2 2 4 4 S1a
_chr12_000004.1 chrX 74586 78432 + _scaffold_1_003425.1 chrY 287459372 287463281 + Sconica_v3_24704-RA Chr05 6737711 6741736 - Silene_vulgaris_scaffold_1_000520.1 scaffold_1 11904501 11908407 + 3 1 4 4 S1a
_chr12_005092.1 chrX 110482 114343 - _scaffold_1_002420.1 chrY 128350026 128354227 - Sconica_v3_24696-RA Chr05 6669233 6673139 + Silene_vulgaris_scaffold_1_003111.1 scaffold_1 11985843 11989797 - 4 1 4 4 S1a
_chr12_000006.1 chrX 297004 299290 + _scaffold_1_003235.1 chrY 26411948 26415142 - Sconica_v3_24720-RA Chr05 6832200 6834386 + Silene_vulgaris_scaffold_1_003123.1 scaffold_1 11710488 11712410 - 5 2 19 19 S1a
_chr12_005088.1 chrX 302370 311698 - _scaffold_1_000938.1 chrY 24726027 24742519 + Sconica_v3_24723-RA Chr05 6838591 6848011 - FUN_001091-T1 scaffold_1 11700413 11709633 + 6 2 19 19 S1a
_chr12_000011.1 chrX 351956 358923 + _scaffold_1_001357.1 chrY 453977709 454003460 + Sconica_v3_24737-RA Chr05 6969079 6976155 + Silene_vulgaris_scaffold_1_003134.1 scaffold_1 11496975 11503149 - 7 1 19 19 S1a
_chr12_005083.1 chrX 669245 675662 - _scaffold_1_004141.1 chrY 414299370 414313013 + Sconica_v3_24743-RA Chr05 7005494 7012400 - Silene_vulgaris_scaffold_1_000497.1 scaffold_1 11436384 11443027 + 8 1 19 19 S1a
_chr12_000018.1 chrX 734654 741209 + _scaffold_1_002280.1 chrY 148013592 148027279 - Chr05-anno1.g6980.t1 Chr05 7245264 7251060 + Silene_vulgaris_scaffold_1_003147.1 scaffold_1 11074090 11080794 - 9 2 19 19 S1a
_chr12_000019.1 chrX 741577 742667 + _scaffold_1_002281.1 chrY 148006378 148012340 - Chr05-anno1.g6981.t1 Chr05 7251983 7252963 + Silene_vulgaris_scaffold_1_003148.1 scaffold_1 11072274 11073834 - 10 2 19 19 S1a
