name_gene_X chr_X start_X stop_X strand_X name_gene_Y chr_Y start_Y stop_Y strand_Y name_gene_conica chr_conica start_conica stop_conica strand_conica name_gene_vulgaris chr_vulgaris start_vulgaris stop_vulgaris strand_vulgaris gene_number strata
_chr12_005095.1 chrX 48638 53196 - _scaffold_1_003878.1 chrY 373368070 373373384 + Sconica_v3_24709-RA Chr05 6764957 6769861 - Silene_vulgaris_scaffold_1_000517.1 scaffold_1 11867313 11872517 + 1 S1a
_chr12_000001.1 chrX 55633 59340 + _scaffold_1_003879.1 chrY 373375663 373380978 + Sconica_v3_24708-RA Chr05 6758854 6764165 - FUN_001117-T1 scaffold_1 11873021 11877554 + 2 S1a
_chr12_000006.1 chrX 297004 299290 + _scaffold_1_003235.1 chrY 26411948 26415142 - Sconica_v3_24720-RA Chr05 6832200 6834386 + Silene_vulgaris_scaffold_1_003123.1 scaffold_1 11710488 11712410 - 3 S1a
_chr12_005088.1 chrX 302370 311698 - _scaffold_1_000938.1 chrY 24726027 24742519 + Sconica_v3_24723-RA Chr05 6838591 6848011 - FUN_001091-T1 scaffold_1 11700413 11709633 + 4 S1a
_chr12_000018.1 chrX 734654 741209 + _scaffold_1_002280.1 chrY 148013592 148027279 - Chr05-anno1.g6980.t1 Chr05 7245264 7251060 + Silene_vulgaris_scaffold_1_003147.1 scaffold_1 11074090 11080794 - 5 S1a
_chr12_000019.1 chrX 741577 742667 + _scaffold_1_002281.1 chrY 148006378 148012340 - Chr05-anno1.g6981.t1 Chr05 7251983 7252963 + Silene_vulgaris_scaffold_1_003148.1 scaffold_1 11072274 11073834 - 6 S1a
_chr12_000033.1 chrX 1220195 1226795 + _scaffold_41_000132.1 chrY 226601392 226604884 - Sconica_v3_24820-RA Chr05 7742488 7748940 + Silene_vulgaris_scaffold_1_003166.1 scaffold_1 10719717 10726765 - 7 S1a
_chr12_005070.1 chrX 1237234 1243815 - _scaffold_41_000003.1 chrY 226449364 226459444 + Sconica_v3_24821-RA Chr05 7749622 7756641 - Silene_vulgaris_scaffold_1_000471.1 scaffold_1 10711642 10719481 + 8 S1a
_chr12_005031.1 chrX 2423607 2428619 - _scaffold_1_004018.1 chrY 394394879 394399675 + Chr05-anno1.g7142.t1 Chr05 8794664 8798887 - Silene_vulgaris_scaffold_1_000421.1 scaffold_1 9459481 9463981 + 9 S1a
_chr12_000071.1 chrX 2435296 2443667 + _scaffold_1_000149.1 chrY 394381482 394388221 - Chr05-anno1.g7144.t1 Chr05 8807668 8815360 + Silene_vulgaris_scaffold_1_003218.1 scaffold_1 9423714 9431466 - 10 S1a
_chr12_005012.1 chrX 3081204 3087984 - _scaffold_12_000308.1 chrY 278024840 278035914 - Sconica_v3_25077-RA Chr05 9895041 9909670 + Silene_vulgaris_scaffold_1_003258.1 scaffold_1 8238365 8246284 - 11 S1a
_chr12_005009.1 chrX 3119260 3125397 - _scaffold_12_000309.1 chrY 277608613 277620138 - Chr05-anno1.g7249.t1 Chr05 9792709 9797810 + Silene_vulgaris_scaffold_1_003255.1 scaffold_1 8369590 8375832 - 12 S1a
