chromosome,beg,end,strand,gene_name,log2FC,pval_adj,DE
chr1,11939,13091,+,_chr1_000002,-1.07367802948325,1.19480098394423e-10,down
chr1,43457,44643,+,_chr1_000003,-1.75508630635411,0.000717920187385573,down
chr1,78682,81179,+,_chr1_000006,0.78287925678635,0.000372905017719903,up
chr1,295228,296213,+,_chr1_000015,-4.08408125581304,0.0035575046533896,down
chr1,306192,306915,+,_chr1_000016,-0.78225470859851,1.52202090219089e-06,down
chr1,307915,309067,+,_chr1_000017,-0.814332070449245,2.86561628582912e-05,down
chr1,318758,332331,+,_chr1_000018,1.0241267082724,4.52050352145429e-08,up
chr1,344585,347652,+,_chr1_000019,-0.502869282925559,0.0260629552503539,down
chr1,392630,395247,+,_chr1_000021,-6.85745175502807,1.89618191183768e-05,down
chr1,784043,784215,+,_chr1_000034,5.54836289904942,0.00228680168276111,up
chr1,1105231,1110021,+,_chr1_000047,-0.70321960023181,0.00163266446570699,down
chr1,1140034,1145029,+,_chr1_000050,-1.23361733510788,3.91005414473024e-06,down
chr1,1211493,1216836,+,_chr1_000053,-0.612791714466139,0.0282773855325475,down
chr1,1279792,1280466,+,_chr1_000062,-1.61662200097605,9.56111357104751e-05,down
chr1,1413309,1420669,+,_chr1_000069,0.619157677422471,0.00713057078398509,up
chr1,1664785,1675068,+,_chr1_000072,0.934466076632287,5.32085028024638e-05,up
chr1,1863761,1865901,+,_chr1_000079,2.24059783444536,0.00233838483873211,up
chr1,1875484,1879357,+,_chr1_000080,-1.34501954832683,0.00596248258391071,down
chr1,2042277,2045362,+,_chr1_000088,-2.43003226530778,0.00275217547883876,down
chr1,2052159,2056011,+,_chr1_000089,2.44562148500476,2.53941025475065e-08,up
chr1,2095860,2099367,+,_chr1_000090,1.51350586466868,0.00305257654733726,up
chr1,2141559,2145953,+,_chr1_000092,-1.11263370038518,0.0115721367864325,down
chr1,2262108,2267070,+,_chr1_000094,-0.59502461865054,0.00324318821548413,down
chr1,2573792,2578371,+,_chr1_000108,-0.625311535289169,0.000139978804246813,down
chr1,2585499,2587640,+,_chr1_000109,-1.60546142464812,5.34347127586564e-13,down
chr1,2638892,2644557,+,_chr1_000111,0.691154743447346,3.07765657852999e-10,up
chr1,2821993,2828776,+,_chr1_000118,-0.869370124791023,4.88833266949145e-05,down
chr1,2886274,2888367,+,_chr1_000125,2.90568385794513,0.00985804607331224,up
chr1,3034538,3038595,+,_chr1_000131,-0.939651235342421,3.02584929858551e-07,down
chr1,3212992,3213414,+,_chr1_000138,-0.797059379993513,0.0311429354687186,down
chr1,3298846,3304149,+,_chr1_000146,-0.576149481734409,1.59982863174736e-06,down
chr1,3377073,3384870,+,_chr1_000151,-0.733835829694545,0.00427669577257223,down
chr1,3648624,3658999,+,_chr1_000167,1.64048638116997,0.00027987933984228,up
chr1,3736498,3738519,+,_chr1_000170,-1.91564981952627,0.0492725990632739,down
chr1,3781363,3789069,+,_chr1_000171,-0.531864845534731,0.00021578702888058,down
chr1,3840681,3846299,+,_chr1_000175,-0.579627471713308,0.00353495606708574,down
chr1,3896301,3903304,+,_chr1_000179,3.19718026739587,5.42740595197049e-06,up
chr1,4011888,4014953,+,_chr1_000203,-0.68786811664536,0.0016028421983904,down
chr1,4455903,4461476,+,_chr1_000222,1.3664054312614,0.000211437013693067,up
chr1,4461916,4462700,+,_chr1_000223,-10.2582037517454,1.10435979650906e-32,down
chr1,4595991,4600948,+,_chr1_000232,-1.20187600329105,5.93281483941376e-06,down
chr1,4622434,4626798,+,_chr1_000233,-0.556687848068517,0.00166500799763715,down
chr1,4646643,4651078,+,_chr1_000236,0.502131283457776,0.00315350626260336,up
chr1,4961165,4977309,+,_chr1_000267,0.769117807772615,4.31528464188638e-11,up
chr1,5049133,5054588,+,_chr1_000272,-2.23219801667507,0.000342034469855109,down
chr1,5054590,5059080,+,_chr1_000273,-1.77476620497997,0.00013045880749409,down
chr1,5062460,5065445,+,_chr1_000274,-6.63713711245246,4.90241465161237e-21,down
chr1,5300625,5304772,+,_chr1_000278,1.07593303508304,2.46731684394198e-05,up
chr1,5384216,5385206,+,_chr1_000283,-5.30263706202658,0.000833214076109973,down
chr1,5391353,5397421,+,_chr1_000284,-6.42823703796106,4.99047371965452e-06,down
chr1,5452610,5456090,+,_chr1_000287,-0.545278825206127,0.0383446166751558,down
chr1,5821161,5823287,+,_chr1_000326,-5.40376928038726,0.000364651482277841,down
chr1,6053346,6056495,+,_chr1_000343,1.97773916618494,3.23755477121657e-05,up
chr1,6222478,6234078,+,_chr1_000350,0.706770952166162,2.69638844024142e-06,up
chr1,6282618,6285119,+,_chr1_000353,-0.740698861351065,0.00219162780090791,down
chr1,6365280,6371634,+,_chr1_000356,-0.617628336575623,0.00200281815769547,down
chr1,6463722,6466018,+,_chr1_000359,1.8895430942071,0.0299114417756882,up
chr1,6486584,6489544,+,_chr1_000361,-2.09064720861685,2.49525160767646e-07,down
chr1,6519186,6520740,+,_chr1_000367,-1.27451973574204,1.97897255880122e-09,down
chr1,6550408,6553344,+,_chr1_000370,-1.92891797958976,1.31154217471931e-06,down
chr1,6558167,6562337,+,_chr1_000373,-0.720589078982832,0.00389597888128702,down
chr1,6575735,6577269,+,_chr1_000374,1.46882633470296,0.010882276951782,up
chr1,6797018,6798308,+,_chr1_000382,-0.986630227402447,7.83141440545019e-09,down
chr1,6809259,6812258,+,_chr1_000383,0.809742264639376,2.82248356529011e-12,up
chr1,6889104,6892885,+,_chr1_000385,0.599328992149077,0.00422691954666053,up
chr1,6918235,6924420,+,_chr1_000386,-0.617538118548966,0.00932919159624631,down
chr1,6929493,6936156,+,_chr1_000387,-5.14789757072854,0.0133568734902681,down
chr1,6988826,7001538,+,_chr1_000390,0.976979448682546,6.51879793170379e-14,up
chr1,7005606,7010075,+,_chr1_000391,-0.881740294410433,0.00231752710541482,down
chr1,7011929,7016134,+,_chr1_000392,0.893583635224923,0.0185871617730739,up
chr1,7023794,7025547,+,_chr1_000394,3.07414188656809,0.000996927112893098,up
chr1,7028458,7029997,+,_chr1_000395,-3.53065992511572,0.0400537085532734,down
chr1,7051334,7055547,+,_chr1_000396,-0.654517216312439,0.0030627271935412,down
chr1,7444848,7453092,+,_chr1_000413,1.3855044810734,2.79334473456813e-05,up
chr1,7462316,7463364,+,_chr1_000414,-3.35013570858925,0.0284185782871002,down
chr1,7467214,7477608,+,_chr1_000415,0.815975805122105,3.40688734885798e-07,up
chr1,7486382,7493702,+,_chr1_000417,0.745949720155932,0.000206466818303362,up
chr1,7589351,7592756,+,_chr1_000421,-0.608269704855423,7.96641771771965e-05,down
chr1,7650059,7660631,+,_chr1_000423,1.78177511840997,0.0357195755918338,up
chr1,7774962,7779057,+,_chr1_000424,3.99486026409131,0.00967567934163935,up
chr1,7843187,7851613,+,_chr1_000427,0.593291476544556,8.24536936719434e-06,up
chr1,8038886,8043874,+,_chr1_000433,-0.646398575706169,0.000314710252791821,down
chr1,8056964,8063509,+,_chr1_000435,-0.552209998610754,0.000105302961424496,down
chr1,8418038,8421401,+,_chr1_000443,-0.688646261501798,0.00333527760839366,down
chr1,8447204,8449475,+,_chr1_000445,-1.76793845942602,0.00682069793721046,down
chr1,8466382,8473142,+,_chr1_000447,-1.62102403119109,1.69904658577903e-13,down
chr1,8476323,8481739,+,_chr1_000448,-0.603821075590288,0.000635607593711865,down
chr1,8555390,8555839,+,_chr1_000455,2.30113618342954,0.0467631188041598,up
chr1,8667883,8675620,+,_chr1_000459,-0.785342177272606,0.000354821763380894,down
chr1,8820982,8834865,+,_chr1_000461,-1.34337067711556,0.00393959011611026,down
chr1,9127016,9132934,+,_chr1_000469,-1.58482637461934,0.00189591002756916,down
chr1,9235527,9250294,+,_chr1_000475,0.59027461046268,0.00536874347931689,up
chr1,9292907,9299749,+,_chr1_000476,-0.92594631675322,5.68498911538361e-07,down
chr1,9424709,9425554,+,_chr1_000479,-1.87417995505915,0.0455937319515091,down
chr1,9461035,9485585,+,_chr1_000483,0.599308731413841,0.0031287748926338,up
