chr	x	count
chr1	0	53
chr1	1e+06	71
chr1	2e+06	78
chr1	3e+06	99
chr1	4e+06	75
chr1	5e+06	64
chr1	6e+06	114
chr1	7e+06	90
chr1	8e+06	71
chr1	9e+06	68
chr1	1e+07	65
chr1	1.1e+07	37
chr1	1.2e+07	41
chr1	1.3e+07	32
chr1	1.4e+07	44
chr1	1.5e+07	39
chr1	1.6e+07	20
chr1	1.7e+07	31
chr1	1.8e+07	26
chr1	1.9e+07	20
chr1	2e+07	47
chr1	2.1e+07	31
chr1	2.2e+07	19
chr1	2.3e+07	35
chr1	2.4e+07	19
chr1	2.5e+07	39
chr1	2.6e+07	17
chr1	2.7e+07	16
chr1	2.8e+07	24
chr1	2.9e+07	20
chr1	3e+07	27
chr1	3.1e+07	20
chr1	3.2e+07	21
chr1	3.3e+07	20
chr1	3.4e+07	12
chr1	3.5e+07	21
chr1	3.6e+07	14
chr1	3.7e+07	18
chr1	3.8e+07	18
chr1	3.9e+07	21
chr1	4e+07	24
chr1	4.1e+07	21
chr1	4.2e+07	18
chr1	4.3e+07	6
chr1	4.4e+07	6
chr1	4.5e+07	8
chr1	4.6e+07	8
chr1	4.7e+07	15
chr1	4.8e+07	5
chr1	4.9e+07	6
chr1	5e+07	11
chr1	5.1e+07	8
chr1	5.2e+07	11
chr1	5.3e+07	9
chr1	5.4e+07	10
chr1	5.5e+07	15
chr1	5.6e+07	6
chr1	5.7e+07	7
chr1	5.8e+07	8
chr1	5.9e+07	9
chr1	6e+07	11
chr1	6.1e+07	5
chr1	6.2e+07	0
chr1	6.3e+07	1
chr1	6.4e+07	1
chr1	6.5e+07	3
chr1	6.6e+07	6
chr1	6.7e+07	1
chr1	6.8e+07	6
chr1	6.9e+07	2
chr1	7e+07	0
chr1	7.1e+07	3
chr1	7.2e+07	5
chr1	7.3e+07	8
chr1	7.4e+07	3
chr1	7.5e+07	7
chr1	7.6e+07	7
chr1	7.7e+07	10
chr1	7.8e+07	8
chr1	7.9e+07	21
chr1	8e+07	6
chr1	8.1e+07	6
chr1	8.2e+07	7
chr1	8.3e+07	39
chr1	8.4e+07	19
chr1	8.5e+07	17
chr1	8.6e+07	16
chr1	8.7e+07	8
chr1	8.8e+07	8
chr1	8.9e+07	8
chr1	9e+07	3
chr1	9.1e+07	9
chr1	9.2e+07	11
chr1	9.3e+07	9
chr1	9.4e+07	9
chr1	9.5e+07	11
chr1	9.6e+07	5
chr1	9.7e+07	4
chr1	9.8e+07	3
chr1	9.9e+07	4
chr1	1e+08	12
chr1	1.01e+08	20
chr1	1.02e+08	11
chr1	1.03e+08	2
chr1	1.04e+08	4
chr1	1.05e+08	4
chr1	1.06e+08	5
chr1	1.07e+08	3
chr1	1.08e+08	3
chr1	1.09e+08	1
chr1	1.1e+08	5
chr1	1.11e+08	3
chr1	1.12e+08	7
chr1	1.13e+08	1
chr1	1.14e+08	2
chr1	1.15e+08	2
chr1	1.16e+08	6
chr1	1.17e+08	8
chr1	1.18e+08	3
chr1	1.19e+08	2
chr1	1.2e+08	0
chr1	1.21e+08	0
chr1	1.22e+08	1
chr1	1.23e+08	9
chr1	1.24e+08	5
chr1	1.25e+08	5
chr1	1.26e+08	7
chr1	1.27e+08	4
chr1	1.28e+08	3
chr1	1.29e+08	6
chr1	1.3e+08	5
chr1	1.31e+08	4
chr1	1.32e+08	1
chr1	1.33e+08	8
chr1	1.34e+08	6
chr1	1.35e+08	2
chr1	1.36e+08	5
chr1	1.37e+08	6
chr1	1.38e+08	2
chr1	1.39e+08	2
chr1	1.4e+08	6
chr1	1.41e+08	2
chr1	1.42e+08	6
chr1	1.43e+08	2
chr1	1.44e+08	8
chr1	1.45e+08	1
chr1	1.46e+08	5
chr1	1.47e+08	2
chr1	1.48e+08	7
chr1	1.49e+08	2
chr1	1.5e+08	3
chr1	1.51e+08	3
chr1	1.52e+08	6
chr1	1.53e+08	3
chr1	1.54e+08	10
chr1	1.55e+08	5
chr1	1.56e+08	7
chr1	1.57e+08	3
chr1	1.58e+08	6
chr1	1.59e+08	7
chr1	1.6e+08	5
chr1	1.61e+08	2
chr1	1.62e+08	4
chr1	1.63e+08	7
chr1	1.64e+08	3
chr1	1.65e+08	4
chr1	1.66e+08	6
chr1	1.67e+08	7
chr1	1.68e+08	11
chr1	1.69e+08	9
chr1	1.7e+08	25
chr1	1.71e+08	40
chr1	1.72e+08	30
chr1	1.73e+08	28
chr1	1.74e+08	13
chr1	1.75e+08	8
chr1	1.76e+08	6
chr1	1.77e+08	4
chr1	1.78e+08	22
chr1	1.79e+08	9
chr1	1.8e+08	18
chr1	1.81e+08	20
chr1	1.82e+08	19
chr1	1.83e+08	13
chr1	1.84e+08	24
chr1	1.85e+08	20
chr1	1.86e+08	15
chr1	1.87e+08	33
chr1	1.88e+08	22
chr1	1.89e+08	32
chr1	1.9e+08	18
chr1	1.91e+08	25
chr1	1.92e+08	39
chr1	1.93e+08	29
chr1	1.94e+08	50
chr1	1.95e+08	57
chr1	1.96e+08	48
chr1	1.97e+08	52
chr1	1.98e+08	35
chr1	1.99e+08	34
chr1	2e+08	29
chr1	2.01e+08	4
chr10	0	15
chr10	1e+06	70
chr10	2e+06	38
chr10	3e+06	46
chr10	4e+06	57
chr10	5e+06	67
chr10	6e+06	30
chr10	7e+06	44
chr10	8e+06	37
chr10	9e+06	57
chr10	1e+07	22
chr10	1.1e+07	42
chr10	1.2e+07	56
chr10	1.3e+07	64
chr10	1.4e+07	35
chr10	1.5e+07	40
chr10	1.6e+07	25
chr10	1.7e+07	11
chr10	1.8e+07	44
chr10	1.9e+07	27
chr10	2e+07	26
chr10	2.1e+07	14
chr10	2.2e+07	31
chr10	2.3e+07	16
chr10	2.4e+07	10
chr10	2.5e+07	8
