pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
BEL1	chrY	485030	485031	0.0	1	0	15	8
FRA1	chrY	485030	485031	0.0	1	0	10	5
FRA1	chrY	2783958	2783959	NA	0	NA	NA	NA
BEL1	chrY	2783958	2783959	NA	0	NA	NA	NA
BEL1	chrY	2784017	2784018	0.0	1	0	21	7
FRA1	chrY	2784017	2784018	0.0	1	0	6	6
BEL1	chrY	7172189	7172190	0.0	1	0	21	7
FRA1	chrY	7172189	7172190	0.0	1	0	10	5
BEL1	chrY	8050036	8050037	0.0	1	0	10	9
FRA1	chrY	8050036	8050037	0.0	1	0	10	5
BEL1	chrY	8050226	8050227	0.0	1	0	21	7
FRA1	chrY	8050226	8050227	0.0	1	0	10	5
BEL1	chrY	10301909	10301910	0.0	1	0	21	7
FRA1	chrY	10301909	10301910	0.0	1	0	10	5
BEL1	chrY	14930907	14930908	0.0	1	0	10	9
FRA1	chrY	14930907	14930908	0.0	1	0	10	5
BEL1	chrY	23339096	23339097	0.0	1	0	21	7
FRA1	chrY	23339096	23339097	0.0	1	0	10	5
FRA1	chrY	24911997	24911998	0.0	1	0	6	6
BEL1	chrY	24911997	24911998	0.0	1	0	10	9
BEL1	chrY	27166802	27166803	0.0	1	0	21	7
FRA1	chrY	27166802	27166803	0.0	1	0	10	5
BEL1	chrY	29999089	29999090	0.0	1	0	15	8
FRA1	chrY	29999089	29999090	0.0	1	0	6	6
FRA1	chrY	32397846	32397847	0.0	1	0	6	6
BEL1	chrY	32397846	32397847	0.0	1	0	21	7
FRA1	chrY	40996610	40996611	0.0	1	0	10	5
BEL1	chrY	40996610	40996611	0.0	1	0	21	7
FRA1	chrY	40996807	40996808	0.0	1	0	10	5
BEL1	chrY	40996807	40996808	0.0	1	0	21	7
BEL1	chrY	42519597	42519598	0.0	1	0	21	7
FRA1	chrY	42519597	42519598	0.0	1	0	10	5
BEL1	chrY	42567567	42567568	0.0	1	0	21	7
FRA1	chrY	42567567	42567568	0.0	1	0	10	5
FRA1	chrY	42932671	42932672	0.0	1	0	6	6
BEL1	chrY	42932671	42932672	0.0	1	0	21	7
BEL1	chrY	42933063	42933064	0.0	1	0	21	7
FRA1	chrY	42933063	42933064	0.0	1	0	10	5
BEL1	chrY	43474277	43474278	0.0	1	0	21	7
FRA1	chrY	43474277	43474278	0.0	1	0	10	5
BEL1	chrY	43698891	43698892	0.0	1	0	21	7
FRA1	chrY	43698891	43698892	0.0	1	0	10	5
BEL1	chrY	43725661	43725662	0.0	1	0	15	8
FRA1	chrY	43725661	43725662	0.0	1	0	10	5
FRA1	chrY	44756912	44756913	0.0	1	0	10	5
BEL1	chrY	44756912	44756913	0.0	1	0	10	9
FRA1	chrY	45222244	45222245	0.0	1	0	6	6
BEL1	chrY	45222244	45222245	0.0	1	0	21	7
FRA1	chrY	46420882	46420883	0.0	1	0	10	5
BEL1	chrY	46420882	46420883	0.0	1	0	21	7
BEL1	chrY	46765588	46765589	0.0	1	0	21	7
FRA1	chrY	46765588	46765589	0.0	1	0	6	6
BEL1	chrY	55982888	55982889	0.0	1	0	15	8
FRA1	chrY	55982888	55982889	0.0	1	0	10	5
BEL1	chrY	56919054	56919055	0.0	1	0	10	9
FRA1	chrY	56919054	56919055	0.0	1	0	6	6
BEL1	chrY	58154134	58154135	0.0	1	0	15	8
FRA1	chrY	58154134	58154135	0.0	1	0	10	5
BEL1	chrY	59383381	59383382	0.0	1	0	21	7
FRA1	chrY	59383381	59383382	0.0	1	0	6	6
FRA1	chrY	61131784	61131785	0.0	1	0	10	5
BEL1	chrY	61131784	61131785	0.0	1	0	21	7
BEL1	chrY	61912235	61912236	0.0	1	0	21	7
FRA1	chrY	61912235	61912236	0.0	1	0	6	6
FRA1	chrY	69540430	69540431	0.0	1	0	10	5
BEL1	chrY	69540430	69540431	0.0	1	0	21	7
FRA1	chrY	69652870	69652871	0.0	1	0	10	5
BEL1	chrY	69652870	69652871	0.0	1	0	21	7
BEL1	chrY	70962889	70962890	0.0	1	0	10	9
FRA1	chrY	70962889	70962890	0.0	1	0	10	5
FRA1	chrY	80401433	80401434	0.0	1	0	6	6
BEL1	chrY	80401433	80401434	0.0	1	0	15	8
BEL1	chrY	83452686	83452687	0.0	1	0	15	8
FRA1	chrY	83452686	83452687	0.0	1	0	10	5
BEL1	chrY	84331699	84331700	0.0	1	0	21	7
FRA1	chrY	84331699	84331700	0.0	1	0	10	5
BEL1	chrY	85646137	85646138	0.0	1	0	21	7
FRA1	chrY	85646137	85646138	0.0	1	0	10	5
BEL1	chrY	85646534	85646535	0.0	1	0	21	7
FRA1	chrY	85646534	85646535	0.0	1	0	10	5
BEL1	chrY	90529171	90529172	0.0	1	0	21	7
FRA1	chrY	90529171	90529172	0.0	1	0	10	5
BEL1	chrY	90529498	90529499	0.0	1	0	21	7
FRA1	chrY	90529498	90529499	0.0	1	0	10	5
FRA1	chrY	92977486	92977487	0.0	1	0	10	5
BEL1	chrY	92977486	92977487	0.0	1	0	21	7
BEL1	chrY	94405797	94405917	0.0	120	0	1800	960
FRA1	chrY	94405797	94405917	0.0	120	0	1176	606
FRA1	chrY	96150871	96150872	0.0	1	0	6	6
BEL1	chrY	96150871	96150872	0.0	1	0	21	7
BEL1	chrY	96151076	96151077	0.0	1	0	15	8
FRA1	chrY	96151076	96151077	0.0	1	0	10	5
BEL1	chrY	103038803	103038804	0.0	1	0	10	9
FRA1	chrY	103038803	103038804	0.0	1	0	10	5
FRA1	chrY	103039272	103039273	0.0	1	0	10	5
BEL1	chrY	103039272	103039273	0.0	1	0	15	8
BEL1	chrY	106072986	106072987	0.0	1	0	15	8
FRA1	chrY	106072986	106072987	0.0	1	0	10	5
FRA1	chrY	111804647	111804648	0.0	1	0	10	5
BEL1	chrY	111804647	111804648	0.0	1	0	21	7
BEL1	chrY	117495066	117495067	0.0	1	0	21	7
FRA1	chrY	117495066	117495067	0.0	1	0	10	5
BEL1	chrY	117495393	117495394	0.0	1	0	21	7
FRA1	chrY	117495393	117495394	0.0	1	0	10	5
