"chr","window","fst","mid","start","snp","scaff","seq.len","sites","chr.type"
"1",1,1,0.0139478884198347,2854734,354734,NA,46,5719,5214,"Autosomes"
"2",1,2,0.0129632980957525,7854734,5354734,NA,43,5316,4900,"Autosomes"
"3",1,3,0.00958620795336752,12854734,10354734,NA,28,3502,3208,"Autosomes"
"4",1,4,0.0119236618102652,17854734,15354734,NA,48,6011,5577,"Autosomes"
"5",1,5,0.0133115578954496,22854734,20354734,NA,52,6365,5693,"Autosomes"
"6",1,6,0.014265494349411,27854734,25354734,NA,32,3935,3511,"Autosomes"
"7",1,7,0.0102533383882141,32854734,30354734,NA,70,8795,7895,"Autosomes"
"8",1,8,0.0117604870256196,37854734,35354734,NA,48,5937,5315,"Autosomes"
"9",1,9,0.0126590974188979,42854734,40354734,NA,48,5889,5455,"Autosomes"
"10",1,10,0.0116276004722818,47854734,45354734,NA,57,7112,6466,"Autosomes"
"11",1,11,0.0135561479250598,52854734,50354734,NA,55,6830,6000,"Autosomes"
"12",1,12,0.00855618601737233,57854734,55354734,NA,106,13234,12177,"Autosomes"
"13",1,13,0.00806262631730157,62854734,60354734,NA,59,7190,6735,"Autosomes"
"14",1,14,0.013960282818419,67854734,65354734,NA,34,4159,3603,"Autosomes"
"15",1,15,0.0102762436999436,72854734,70354734,NA,85,10544,9518,"Autosomes"
"16",1,16,0.00651259417002577,77854734,75354734,NA,86,10627,9883,"Autosomes"
"17",1,17,0.0105771058993683,82854734,80354734,NA,79,10049,9314,"Autosomes"
"18",1,18,0.00988776780010724,87854734,85354734,NA,42,5230,4749,"Autosomes"
"19",1,19,0.00969429602127557,92854734,90354734,NA,54,6662,6101,"Autosomes"
"20",1,20,0.00944212726008076,97854734,95354734,NA,51,6219,5678,"Autosomes"
"21",1,21,0.0106464014658225,102854734,100354734,NA,88,10973,9992,"Autosomes"
"22",1,22,0.00787483362824806,107854734,105354734,NA,133,16629,15844,"Autosomes"
"23",1,23,0.0077108867095041,112854734,110354734,NA,107,13130,12122,"Autosomes"
"24",1,24,0.00764640739405411,117854734,115354734,NA,69,8546,7900,"Autosomes"
"25",1,25,0.00953450117743481,122854734,120354734,NA,63,7821,7082,"Autosomes"
"26",1,26,0.00943495643294534,127854734,125354734,NA,113,14295,13332,"Autosomes"
"27",1,27,0.00597267557863547,132854734,130354734,NA,166,20583,19355,"Autosomes"
"28",1,28,0.00842028478417753,137854734,135354734,NA,144,17736,16664,"Autosomes"
"29",1,29,0.00645162460999274,142854734,140354734,NA,148,18518,17229,"Autosomes"
