pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
POL3	chr1	14307	14427	0.010710553814002	116	82	7656	232
FRA1	chr1	14307	14427	0.0174363165781228	116	128	7341	726
POL3	chr1	14651	14776	0.0	97	0	8827	0
FRA1	chr1	14651	14776	0.0	97	0	14841	0
POL3	chr1	14790	14910	0.0121477162293488	113	50	4116	566
FRA1	chr1	14790	14910	0.0109837631327602	113	69	6282	790
POL3	chr1	15136	15261	0.0	100	0	2800	600
FRA1	chr1	15136	15261	0.0	100	0	5361	718
POL3	chr1	324130	324250	0.017469709777402	117	186	10647	0
FRA1	chr1	324130	324250	0.0174929931381076	117	181	10347	492
FRA1	chr1	324358	324483	0.0292929292929292	120	232	7920	720
POL3	chr1	324358	324483	0.0021978021978021	120	24	10920	0
POL3	chr1	451068	451188	0.0319843342036553	104	98	3064	608
FRA1	chr1	451068	451188	0.0128051220488195	104	96	7497	590
POL3	chr1	458233	458357	0.0042432814710042	101	12	2828	606
FRA1	chr1	458233	458357	0.009020902090209	101	41	4545	808
POL3	chr1	458503	458623	0.0030103480714957	120	16	5315	490
FRA1	chr1	458503	458623	0.005091103965702	120	38	7464	768
POL3	chr1	462490	462635	0.0259942235058875	74	117	4501	186
FRA1	chr1	462490	462635	0.025458248472505	74	225	8838	184
FRA1	chr1	462965	463090	0.0044444444444444	125	25	5625	1000
POL3	chr1	462965	463090	0.0205714285714285	125	72	3500	750
POL3	chr1	762855	762980	0.0113524185587364	108	69	6078	316
FRA1	chr1	762855	762980	0.0080607657727484	108	104	12902	220
POL3	chr1	1155449	1155586	0.0027742749054224	122	11	3965	674
FRA1	chr1	1155449	1155586	0.0120967741935483	122	108	8928	668
POL3	chr1	1155587	1155695	0.0128816793893129	103	81	6288	258
FRA1	chr1	1155587	1155695	0.0094821899736147	103	115	12128	222
POL3	chr1	1155863	1155984	0.0126639529624604	104	84	6633	230
FRA1	chr1	1155863	1155984	0.0225717756889826	104	353	15639	18
FRA1	chr1	1510222	1510347	0.0245142002989536	109	164	6690	702
POL3	chr1	1510222	1510347	0.0251033370299425	109	249	9919	0
POL3	chr1	1510394	1510514	0.0075414781297134	102	70	9282	0
FRA1	chr1	1510394	1510514	0.0049704877291084	102	32	6438	640
