pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_hudson_fst	no_snps
FRA1	BEL1	chr1	324130	324250	0.0412639991587359	8
FRA1	BEL1	chr1	324358	324483	0.1902458228794107	10
FRA1	BEL1	chr1	458233	458357	-0.0079365079365079	5
FRA1	BEL1	chr1	458503	458623	0.1363636363636363	2
FRA1	BEL1	chr1	462490	462635	0.065752741774676	5
FRA1	BEL1	chr1	762855	762980	0.0784313725490195	13
FRA1	BEL1	chr1	1155163	1155282	0.0474009617586443	16
FRA1	BEL1	chr1	1155449	1155586	0.0787878787878787	7
FRA1	BEL1	chr1	1155587	1155696	0.1092702169625246	12
FRA1	BEL1	chr1	1155863	1155984	0.0994268007842668	13
FRA1	BEL1	chr1	1415672	1415792	0.1258216365688218	10
FRA1	BEL1	chr1	1415981	1416100	0.0618408534240196	11
FRA1	BEL1	chr1	1510222	1510347	0.4013328303784736	19
FRA1	BEL1	chr1	1510394	1510514	0.5190082644628099	6
FRA1	BEL1	chr1	1830653	1830775	0.1062883545026402	15
FRA1	BEL1	chr1	1830874	1830999	0.2401157981803142	10
FRA1	BEL1	chr1	1837479	1837599	-0.0015278838808251	3
FRA1	BEL1	chr1	1837723	1837848	-0.0448717948717949	4
FRA1	BEL1	chr1	1918458	1918578	0.1865734265734265	4
FRA1	BEL1	chr1	1955760	1955880	0.0119420809075982	7
FRA1	BEL1	chr1	2289873	2289997	0.2753496503496503	5
FRA1	BEL1	chr1	2290100	2290220	0.026525198938992	4
FRA1	BEL1	chr1	2320701	2320826	0.4636808814527647	5
FRA1	BEL1	chr1	2320939	2321059	0.0389957264957265	12
FRA1	BEL1	chr1	2334392	2334517	0.1622103386809268	10
FRA1	BEL1	chr1	2334679	2334799	0.1207977207977207	7
FRA1	BEL1	chr1	2599727	2599847	0.1767363071710898	10
FRA1	BEL1	chr1	2606787	2606912	0.0	5
FRA1	BEL1	chr1	2691541	2691666	0.0861111111111111	7
FRA1	BEL1	chr1	2691786	2691906	0.194219826295298	8
FRA1	BEL1	chr1	2863121	2863246	0.0363636363636363	4
FRA1	BEL1	chr1	3175119	3175244	0.0426939471440749	10
FRA1	BEL1	chr1	3278825	3278945	0.1623443223443223	4
FRA1	BEL1	chr1	3279175	3279300	0.2112246727631343	11
FRA1	BEL1	chr1	3630195	3630315	0.3085106382978723	8
FRA1	BEL1	chr1	3666598	3666718	0.3679501470322834	11
FRA1	BEL1	chr1	3666874	3666999	0.2352941176470588	10
FRA1	BEL1	chr1	3692068	3692188	0.0050607287449392	5
FRA1	BEL1	chr1	3787414	3787539	0.0	3
FRA1	BEL1	chr1	3800214	3800334	0.0	5
FRA1	BEL1	chr1	3800564	3800689	0.0	8
FRA1	BEL1	chr1	4054828	4054948	0.0	7
FRA1	BEL1	chr1	4055086	4055211	0.109090909090909	5
FRA1	BEL1	chr1	4070705	4070825	0.012539184952978	4
FRA1	BEL1	chr1	4134086	4134206	0.456140350877193	4
FRA1	BEL1	chr1	4134377	4134502	0.3619047619047619	10
FRA1	BEL1	chr1	4212398	4212523	0.267379679144385	9
FRA1	BEL1	chr1	4212663	4212783	0.4382470119521912	16
FRA1	BEL1	chr1	4953097	4953217	0.3139329805996472	8
FRA1	BEL1	chr1	4971997	4972117	0.0909090909090908	3
FRA1	BEL1	chr1	5051405	5051528	-0.0130625167267406	17
FRA1	BEL1	chr1	5406719	5406836	0.792270531400966	5
FRA1	BEL1	chr1	5407114	5407232	0.3535012285012285	8
FRA1	BEL1	chr1	5416169	5416286	0.1333333333333333	4
FRA1	BEL1	chr1	5416590	5416715	0.2222222222222222	2
FRA1	BEL1	chr1	5815877	5815997	0.086317722681359	18
FRA1	BEL1	chr1	5846576	5846696	0.2048852965604072	15
FRA1	BEL1	chr1	6030750	6030870	0.6585718779490407	6
FRA1	BEL1	chr1	6031014	6031137	0.1125541125541125	5
FRA1	BEL1	chr1	6060209	6060329	0.2824471126357919	4
FRA1	BEL1	chr1	6060412	6060537	0.121773288439955	15
FRA1	BEL1	chr1	6062951	6063071	0.4535101423399296	9
FRA1	BEL1	chr1	6083625	6083750	0.1899766899766899	12
FRA1	BEL1	chr1	6163014	6163138	0.2004626713180839	12
FRA1	BEL1	chr1	6435905	6436024	0.1158730158730158	10
FRA1	BEL1	chr1	6546361	6546481	0.3076923076923076	3
FRA1	BEL1	chr1	6546637	6546762	0.65053050397878	3
FRA1	BEL1	chr1	6684539	6684664	-0.0505809979494189	7
FRA1	BEL1	chr1	6797763	6797888	0.2046149038127647	7
FRA1	BEL1	chr1	6798039	6798159	0.0928568135718237	11
FRA1	BEL1	chr1	6993058	6993182	0.5977443609022557	9
FRA1	BEL1	chr1	6993248	6993368	0.7766323024054984	11
FRA1	BEL1	chr1	7289774	7289893	0.0606060606060605	8
FRA1	BEL1	chr1	7489859	7489981	0.2977392977392977	17
FRA1	BEL1	chr1	7490106	7490237	0.019966015293118	10
FRA1	BEL1	chr1	7627053	7627178	0.0324594257178527	8
FRA1	BEL1	chr1	7627346	7627466	0.2620320855614972	1
FRA1	BEL1	chr1	7976263	7976383	0.0309597523219813	2
FRA1	BEL1	chr1	8007742	8007867	0.367408906882591	8
FRA1	BEL1	chr1	8160920	8161045	0.4731720878509868	9
FRA1	BEL1	chr1	8161122	8161242	0.0	3
FRA1	BEL1	chr1	8235232	8235352	0.0277777777777777	13
FRA1	BEL1	chr1	8255871	8255996	0.0	3
FRA1	BEL1	chr1	8256222	8256342	0.0839764334909965	16
