pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
FRA1	chr1	14651	14776	0.0	97	0	14841	0
BEL1	chr1	14651	14776	0.0	97	0	11640	0
FRA1	chr1	324130	324250	0.0174929931381076	117	181	10347	492
BEL1	chr1	324130	324250	0.0080935251798561	117	108	13344	48
FRA1	chr1	324358	324483	0.0292929292929292	120	232	7920	720
BEL1	chr1	324358	324483	0.0124314442413162	120	170	13675	50
FRA1	chr1	458233	458357	0.009020902090209	101	41	4545	808
BEL1	chr1	458233	458357	0.0049504950495049	101	14	2828	808
BEL1	chr1	458503	458623	0.0	120	0	5400	720
FRA1	chr1	458503	458623	0.005091103965702	120	38	7464	768
FRA1	chr1	462490	462635	0.025458248472505	74	225	8838	184
BEL1	chr1	462490	462635	0.0266946191474493	74	191	7155	138
FRA1	chr1	762855	762980	0.0080607657727484	108	104	12902	220
BEL1	chr1	762855	762980	0.0053713218122372	108	23	4282	716
FRA1	chr1	1155163	1155282	0.0276385725132877	96	182	6585	558
BEL1	chr1	1155163	1155282	0.0321931589537223	96	192	5964	424
FRA1	chr1	1155449	1155586	0.0120080053368912	123	108	8994	674
BEL1	chr1	1155449	1155586	0.005091649694501	123	30	5892	720
BEL1	chr1	1155587	1155696	0.0083695306706218	104	79	9439	210
FRA1	chr1	1155587	1155696	0.009389288047028	104	115	12248	224
FRA1	chr1	1155863	1155984	0.0225717756889826	104	353	15639	18
BEL1	chr1	1155863	1155984	0.0250053659583601	104	233	9318	220
FRA1	chr1	1415672	1415792	0.0207422470767666	110	204	9835	454
BEL1	chr1	1415672	1415792	0.0159830268741159	110	113	7070	460
FRA1	chr1	1415981	1416100	0.0263452914798206	106	188	7136	628
BEL1	chr1	1415981	1416100	0.0394658162248355	106	198	5017	614
FRA1	chr1	1510222	1510347	0.0245142002989536	109	164	6690	702
BEL1	chr1	1510222	1510347	0.0307339449541284	109	402	13080	0
BEL1	chr1	1510394	1510514	0.010375816993464	102	127	12240	0
FRA1	chr1	1510394	1510514	0.0049704877291084	102	32	6438	640
FRA1	chr1	1830653	1830775	0.0136875281404772	101	152	11105	272
BEL1	chr1	1830653	1830775	0.028084818407399	101	249	8866	228
FRA1	chr1	1830874	1830999	0.0118789629986355	106	148	12459	230
BEL1	chr1	1830874	1830999	0.0202695643088496	106	194	9571	218
FRA1	chr1	1837479	1837599	0.0024553936814535	120	45	18327	2
BEL1	chr1	1837479	1837599	0.0039331366764995	120	32	8136	464
FRA1	chr1	1837723	1837848	0.0062476477229958	124	83	13285	358
BEL1	chr1	1837723	1837848	0.0053927736832644	124	30	5563	746
FRA1	chr1	1918458	1918578	0.0082158528615442	120	88	10711	498
BEL1	chr1	1918458	1918578	0.0081022914292948	120	64	7899	482
BEL1	chr1	1955760	1955880	0.0183229813664596	115	59	3220	920
FRA1	chr1	1955760	1955880	0.018347277264054	115	125	6813	764
FRA1	chr1	2289873	2289997	0.0066666666666666	120	36	5400	960
BEL1	chr1	2289873	2289997	0.0085164835164835	120	93	10920	240
FRA1	chr1	2290100	2290220	0.004	100	18	4500	800
BEL1	chr1	2290100	2290220	0.0040865915617406	100	37	9054	204
FRA1	chr1	2320701	2320826	0.0030009233610341	122	26	8664	684
BEL1	chr1	2320701	2320826	0.0118117074865381	122	68	5757	734
FRA1	chr1	2320939	2321059	0.0099677513925535	113	102	10233	456
BEL1	chr1	2320939	2321059	0.0153724090052563	113	155	10083	242
BEL1	chr1	2334392	2334517	0.0084033613445378	119	45	5355	714
FRA1	chr1	2334392	2334517	0.0167905312413982	119	122	7266	770
FRA1	chr1	2334679	2334799	0.0024164317358034	120	24	9932	560
BEL1	chr1	2334679	2334799	0.0072222222222222	120	39	5400	720
FRA1	chr1	2599727	2599847	0.0188213914849428	118	145	7704	716
BEL1	chr1	2599727	2599847	0.0132557824969565	118	98	7393	510
FRA1	chr1	2606787	2606912	0.0029819329942115	112	51	17103	2
BEL1	chr1	2606787	2606912	0.0	112	0	10192	224
FRA1	chr1	2691541	2691666	0.0157777777777777	100	71	4500	800
BEL1	chr1	2691541	2691666	0.0025	100	7	2800	800
BEL1	chr1	2691786	2691906	0.0182005494505494	104	53	2912	832
FRA1	chr1	2691786	2691906	0.0228632478632478	104	107	4680	832
FRA1	chr1	2863121	2863246	0.0069172539806838	125	53	7662	806
BEL1	chr1	2863121	2863246	0.0	125	0	8082	516
FRA1	chr1	3175119	3175244	0.0213507625272331	120	392	18360	0
BEL1	chr1	3175119	3175244	0.016875	120	243	14400	0
FRA1	chr1	3278825	3278945	0.0081258644536652	105	94	11568	282
BEL1	chr1	3278825	3278945	0.002565473009086	105	24	9355	226
FRA1	chr1	3279175	3279300	0.0151561699948796	114	148	9765	506
BEL1	chr1	3279175	3279300	0.0113156100886162	114	83	7335	474
BEL1	chr1	3630195	3630315	0.0089613970588235	102	39	4352	640
FRA1	chr1	3630195	3630315	0.0166880616174582	102	78	4674	808
FRA1	chr1	3666598	3666718	0.0187832912811886	117	335	17835	4
BEL1	chr1	3666598	3666718	0.0104948618905327	117	144	13721	22
FRA1	chr1	3666874	3666999	0.0172697805409426	123	325	18819	0
BEL1	chr1	3666874	3666999	0.0	123	0	14209	38
FRA1	chr1	3692068	3692188	0.013547358834244	104	119	8784	472
BEL1	chr1	3692068	3692188	0.0133928571428571	104	39	2912	832
FRA1	chr1	3787414	3787539	0.0014731485201553	123	11	7467	800
BEL1	chr1	3787414	3787539	0.0	123	0	11193	246
BEL1	chr1	3800214	3800334	0.0016405395552314	116	9	5486	676
FRA1	chr1	3800214	3800334	0.0047770700636942	116	27	5652	896
BEL1	chr1	3800564	3800689	0.0020325203252032	123	7	3444	984
FRA1	chr1	3800564	3800689	0.008130081300813	123	45	5535	984
FRA1	chr1	4054828	4054948	0.0	105	0	15145	56
BEL1	chr1	4054828	4054948	0.0024602263408233	105	30	12194	28
FRA1	chr1	4055086	4055211	0.0	125	0	19092	2
BEL1	chr1	4055086	4055211	0.0059393939393939	125	49	8250	500
FRA1	chr1	4070705	4070825	0.0076523994811932	120	59	7710	740
BEL1	chr1	4070705	4070825	0.0058546519027618	120	46	7857	486
FRA1	chr1	4134086	4134206	0.0	115	0	5175	920
BEL1	chr1	4134086	4134206	0.0113031430029898	115	155	13713	6
FRA1	chr1	4134377	4134502	0.0	122	0	5490	976
BEL1	chr1	4134377	4134502	0.0229735290083664	122	335	14582	4
BEL1	chr1	4212398	4212523	0.0113588557004627	116	81	7131	514
FRA1	chr1	4212398	4212523	0.0073145245559038	116	56	7656	696
FRA1	chr1	4212663	4212783	0.0424836601307189	102	286	6732	612
BEL1	chr1	4212663	4212783	0.0031897926634768	102	20	6270	452
FRA1	chr1	4953097	4953217	0.0085953878406708	106	41	4770	848
BEL1	chr1	4953097	4953217	0.011528326745718	106	35	3036	840
FRA1	chr1	4971997	4972117	0.0036072144288577	115	27	7485	700
BEL1	chr1	4971997	4972117	0.0043478260869565	115	14	3220	920
FRA1	chr1	5051405	5051528	0.0591804029304029	96	517	8736	384
BEL1	chr1	5051405	5051528	0.0606881603901381	96	224	3691	650
BEL1	chr1	5406719	5406836	0.004009623095429	103	25	6235	466
FRA1	chr1	5406719	5406836	0.003883495145631	103	18	4635	824
FRA1	chr1	5407114	5407232	0.0093567251461988	114	48	5130	912
BEL1	chr1	5407114	5407232	0.0126519881695695	114	77	6086	596
FRA1	chr1	5416169	5416286	0.0088636363636363	110	117	13200	220
BEL1	chr1	5416169	5416286	0.0	110	0	13200	0
FRA1	chr1	5416590	5416715	0.0051622418879056	113	70	13560	226
BEL1	chr1	5416590	5416715	0.0	113	0	13560	0
FRA1	chr1	5815877	5815997	0.0482180293501048	106	230	4770	848
BEL1	chr1	5815877	5815997	0.0352201257861635	106	168	4770	636
BEL1	chr1	5846576	5846696	0.0223424923674715	97	161	7206	324
FRA1	chr1	5846576	5846696	0.0476382993059766	97	707	14841	0
FRA1	chr1	6030750	6030870	0.0054090601757944	116	96	17748	0
BEL1	chr1	6030750	6030870	0.0084900731452455	116	65	7656	464
FRA1	chr1	6031014	6031137	0.0010436234606553	114	15	14373	186
BEL1	chr1	6031014	6031137	0.0057150451887293	114	43	7524	456
FRA1	chr1	6060209	6060329	0.0040549673349853	108	36	8878	508
BEL1	chr1	6060209	6060329	0.0056541542327626	108	36	6367	506
BEL1	chr1	6060412	6060537	0.0134825014343086	119	94	6972	560
FRA1	chr1	6060412	6060537	0.0131494957232222	119	103	7833	716
BEL1	chr1	6062951	6063071	0.0080660466881761	118	85	10538	252
FRA1	chr1	6062951	6063071	0.0083705887948254	118	88	10513	490
FRA1	chr1	6083625	6083750	0.0088075880758807	123	130	14760	246
BEL1	chr1	6083625	6083750	0.017140805887104	123	191	11143	250
FRA1	chr1	6163014	6163138	0.0137342242019302	102	111	8082	504
BEL1	chr1	6163014	6163138	0.0263403698860452	102	141	5353	550
FRA1	chr1	6435905	6436024	0.0235632183908045	111	123	5220	870
BEL1	chr1	6435905	6436024	0.0223463687150838	111	72	3222	876
FRA1	chr1	6546361	6546481	0.0041907245297075	118	45	10738	472
BEL1	chr1	6546361	6546481	0.0	118	0	7846	468
BEL1	chr1	6546637	6546762	0.0032644178454842	102	18	5514	524
FRA1	chr1	6546637	6546762	0.0074910433177722	102	69	9211	414
FRA1	chr1	6684539	6684664	0.0238270333872628	101	162	6799	596
BEL1	chr1	6684539	6684664	0.0243067442656624	101	71	2921	798
FRA1	chr1	6797763	6797888	0.0084328514561072	125	161	19092	2
BEL1	chr1	6797763	6797888	0.01318407960199	125	106	8040	520
