chr	start	end	countMale	countFemale	ratioF_M	ratioM_F
chr1	1	1000000	51.13	63.74	1.24662624682183	0.802165045497333
chr1	1000000	2000000	51.64	57.28	1.10921766072812	0.901536312849162
chr1	2000000	3000000	55.39	65.13	1.17584401516519	0.8504529402733
chr1	3000000	4000000	53.65	61.27	1.14203168685927	0.875632446548066
chr1	4000000	5000000	52.13	49.89	0.957030500671398	1.04489877731008
chr1	5000000	5421769	47.43	68.48	1.4438119333755	0.692610981308411
chr1	5422269	6000000	47.43	68.48	1.4438119333755	0.692610981308411
chr1	6000000	7000000	54.26	66.98	1.23442683376336	0.81009256494476
chr1	7000000	7722402	52.11	76.46	1.46728075225485	0.681532827622286
chr1	7722902	8000000	52.11	76.46	1.46728075225485	0.681532827622286
chr1	8000000	9000000	52.69	73.66	1.3979882330613	0.715313603040999
chr1	9000000	10000000	57.69	76.54	1.32674640318946	0.753723543245362
chr1	10000000	10263978	47.35	62.29	1.3155227032735	0.760154117835929
chr1	10264478	11000000	47.35	62.29	1.3155227032735	0.760154117835929
chr1	11000000	12000000	47.34	65.69	1.38762146176595	0.720657634343127
chr1	12000000	12306400	45.7	58.29	1.27549234135667	0.784010979584834
chr1	12306500	12340507	45.7	58.29	1.27549234135667	0.784010979584834
chr1	12341007	12423682	45.7	58.29	1.27549234135667	0.784010979584834
chr1	12424182	12928489	45.7	58.29	1.27549234135667	0.784010979584834
chr1	12928989	13000000	45.7	58.29	1.27549234135667	0.784010979584834
chr1	13000000	13018903	56	61.55	1.09910714285714	0.90982940698619
chr1	13019003	14000000	56	61.55	1.09910714285714	0.90982940698619
chr1	14000000	15000000	69.09	45.35	0.656390215660732	1.52348401323043
chr1	15000000	16000000	64.35	50.47	0.784304584304584	1.27501486031306
chr1	16000000	17000000	68.53	42.26	0.616664234641763	1.62162801703739
chr1	17000000	18000000	68.89	40.85	0.592974306866018	1.68641370869033
chr1	18000000	19000000	70.04	52.34	0.747287264420331	1.33817348108521
chr1	19000000	20000000	68.91	43.25	0.627630242345088	1.59329479768786
chr1	20000000	21000000	74.92	48.52	0.647624132407902	1.54410552349547
chr1	21000000	22000000	72.84	56.28	0.772652388797364	1.29424307036247
chr1	22000000	23000000	73.82	42.94	0.581685180167976	1.71914299021891
chr1	23000000	24000000	66.43	23.1	0.347734457323498	2.87575757575758
chr1	24000000	25000000	72.5	43.64	0.601931034482759	1.66131989000917
chr1	25000000	26000000	73.91	49.2	0.665674468948722	1.50223577235772
chr1	26000000	27000000	69.89	54.22	0.775790527972528	1.28900774621911
chr1	27000000	28000000	71.28	48	0.673400673400673	1.485
chr1	28000000	29000000	70.62	35.31	0.5	2
chr1	29000000	30000000	71.43	49.15	0.688086238275234	1.45330620549339
chr1	30000000	31000000	67.62	43.58	0.644483880508725	1.55162918770078
chr1	31000000	32000000	72.92	63.32	0.868348875479978	1.15161086544536
chr1	32000000	33000000	73.91	49.93	0.675551346231904	1.48027238133387
chr1	33000000	33555508	75.29	65.3	0.86731305618276	1.15298621745789
chr1	33555608	34000000	75.29	65.3	0.86731305618276	1.15298621745789
chr1	34000000	35000000	70.62	46.57	0.659444916454262	1.51642688426025
chr1	35000000	36000000	69.85	47.89	0.685612025769506	1.45855084568803
chr1	36000000	37000000	72.99	41.3	0.565830935744623	1.76731234866828
chr1	37000000	38000000	71.61	40.09	0.559838011450915	1.78623098029434
chr1	38000000	39000000	75.16	56.29	0.748935604044705	1.3352282821105
chr1	39000000	40000000	69.93	61.45	0.878735878735879	1.1379983726607
chr1	40000000	41000000	73.5	59.24	0.805986394557823	1.2407157326131
chr1	41000000	42000000	71.36	54.43	0.762752242152466	1.31104170494213
chr1	42000000	43000000	70.79	82.6	1.16683147337194	0.857021791767555
chr1	43000000	44000000	74.89	67.01	0.894779009213513	1.11759438889718
chr1	44000000	45000000	70.46	71.88	1.02015327845586	0.980244852531998
chr1	45000000	46000000	74.43	67.84	0.911460432621255	1.09714033018868
chr1	46000000	47000000	67.96	37.3	0.548852266038846	1.82198391420912
chr1	47000000	48000000	70.46	31.19	0.442662503548112	2.25905739018916
