Y_GeneName	Y_transcriptName	X_GeneName	X_transcriptName	startX	scaffY	startY	pos_new	invert	strata	strata_low	strata_uppp	chr.x	min.x	max.x	strand.x	gene_RPM.x	SBGE.x	sRNA24_exp.x	chr.y	min.y	max.y	strand.y	gene_RPM.y	SBGE.y	sRNA24_exp.y	tissue	sex	total_gene_expression	total_sRNA24_exp	Y_over_X_gene_expression	Y_over_X_sRNA24
_scaffold_12_000046	_scaffold_12_000046.1	_chr12_003487	_chr12_003487.1	313496879	scaffold_12-1	8180726	313496879	non_inv	stratum 3	strata3	strata3	chr12	313496879	313504854	-	1379.75	female-biased	0.103333604897051	scaffold_12-1	8180726	8185524	+	0	male-biased	0	flowers	Female	1379.75	0.103333604897051		
_scaffold_12_000046	_scaffold_12_000046.1	_chr12_003487	_chr12_003487.1	313496879	scaffold_12-1	8180726	313496879	non_inv	stratum 3	strata3	strata3	chr12	313496879	313504854	-	398.08775	female-biased	0.093081154472327	scaffold_12-1	8180726	8185524	+	626.16225	male-biased	0.0310074775721948	flowers	Male	1024.25	0.124088632044522	1.57292519048878	0.333123044594524
_scaffold_12_000046	_scaffold_12_000046.1	_chr12_003487	_chr12_003487.1	313496879	scaffold_12-1	8180726	313496879	non_inv	stratum 3	strata3	strata3	chr12	313496879	313504854	-	316.25	unbiased	0.133931980672197	scaffold_12-1	8180726	8185524	+	0	male-biased	0	leaves	Female	316.25	0.133931980672197		
_scaffold_12_000046	_scaffold_12_000046.1	_chr12_003487	_chr12_003487.1	313496879	scaffold_12-1	8180726	313496879	non_inv	stratum 3	strata3	strata3	chr12	313496879	313504854	-	146.2845	unbiased	0.11183166003661	scaffold_12-1	8180726	8185524	+	170.7155	male-biased	0.0456052728151695	leaves	Male	317	0.15743693285178	1.16701017537743	0.407802878006459
_scaffold_12_000048	_scaffold_12_000048.1	_chr12_003488	_chr12_003488.1	313461726	scaffold_12-1	8391783	313461726	non_inv	stratum 3	strata3	strata3	chr12	313461726	313466659	-	813.25	female-biased	0.0484092246863399	scaffold_12-1	8391783	8396670	+	0	male-biased	0	flowers	Female	813.25	0.0484092246863399		
_scaffold_12_000048	_scaffold_12_000048.1	_chr12_003488	_chr12_003488.1	313461726	scaffold_12-1	8391783	313461726	non_inv	stratum 3	strata3	strata3	chr12	313461726	313466659	-	199.01145	female-biased	0.0423271027777158	scaffold_12-1	8391783	8396670	+	251.2385	male-biased	0.046604905897513	flowers	Male	450.24995	0.0889320086752288	1.26243238768423	1.10106534204012
_scaffold_12_000048	_scaffold_12_000048.1	_chr12_003488	_chr12_003488.1	313461726	scaffold_12-1	8391783	313461726	non_inv	stratum 3	strata3	strata3	chr12	313461726	313466659	-	399.75	unbiased	0.0401493314405025	scaffold_12-1	8391783	8396670	+	0	male-biased	0	leaves	Female	399.75	0.0401493314405025		
_scaffold_12_000048	_scaffold_12_000048.1	_chr12_003488	_chr12_003488.1	313461726	scaffold_12-1	8391783	313461726	non_inv	stratum 3	strata3	strata3	chr12	313461726	313466659	-	192.08175	unbiased	0.0642467409091104	scaffold_12-1	8391783	8396670	+	131.418275	male-biased	0.0705304322878367	leaves	Male	323.500025	0.134777173196947	0.684178871756427	1.09780560523087
_scaffold_12_000051	_scaffold_12_000051.1	_chr12_001716	_chr12_001716.1	313546648	scaffold_12-1	9236589	313546648	non_inv	stratum 3	strata3	strata3	chr12	313546648	313553717	+	3505	female-biased	0.017617532143858	scaffold_12-1	9236589	9243869	+	0	male-biased	0	flowers	Female	3505	0.017617532143858		
_scaffold_12_000051	_scaffold_12_000051.1	_chr12_001716	_chr12_001716.1	313546648	scaffold_12-1	9236589	313546648	non_inv	stratum 3	strata3	strata3	chr12	313546648	313553717	+	1129.8195	female-biased	0.0358988741599141	scaffold_12-1	9236589	9243869	+	957.1805	male-biased	0.246872761607054	flowers	Male	2087	0.282771635766968	0.847197716095359	6.87689425878209
_scaffold_12_000051	_scaffold_12_000051.1	_chr12_001716	_chr12_001716.1	313546648	scaffold_12-1	9236589	313546648	non_inv	stratum 3	strata3	strata3	chr12	313546648	313553717	+	3694.5	female-biased	0.0480104066187309	scaffold_12-1	9236589	9243869	+	0	male-biased	0	leaves	Female	3694.5	0.0480104066187309		
_scaffold_12_000051	_scaffold_12_000051.1	_chr12_001716	_chr12_001716.1	313546648	scaffold_12-1	9236589	313546648	non_inv	stratum 3	strata3	strata3	chr12	313546648	313553717	+	970.042	female-biased	0.0275621550023528	scaffold_12-1	9236589	9243869	+	671.708	male-biased	0.291818586288267	leaves	Male	1641.75	0.31938074129062	0.69245249174778	10.5876549298615
_scaffold_12_000052	_scaffold_12_000052.1	_chr12_001717	_chr12_001717.1	313901790	scaffold_12-1	9345298	313901790	non_inv	stratum 3	strata3	strata3	chr12	313901790	313904784	+	11214	female-biased	0.130691670677392	scaffold_12-1	9345298	9348271	+	0	male-biased	0	flowers	Female	11214	0.130691670677392		
_scaffold_12_000052	_scaffold_12_000052.1	_chr12_001717	_chr12_001717.1	313901790	scaffold_12-1	9345298	313901790	non_inv	stratum 3	strata3	strata3	chr12	313901790	313904784	+	3207.905	female-biased	0.0648888152425658	scaffold_12-1	9345298	9348271	+	3175.345	male-biased	0.0525262301217178	flowers	Male	6383.25	0.117415045364284	0.989850073490331	0.809480492521947
_scaffold_12_000052	_scaffold_12_000052.1	_chr12_001717	_chr12_001717.1	313901790	scaffold_12-1	9345298	313901790	non_inv	stratum 3	strata3	strata3	chr12	313901790	313904784	+	3198.75	female-biased	0.139265226151136	scaffold_12-1	9345298	9348271	+	0	male-biased	0	leaves	Female	3198.75	0.139265226151136		
_scaffold_12_000052	_scaffold_12_000052.1	_chr12_001717	_chr12_001717.1	313901790	scaffold_12-1	9345298	313901790	non_inv	stratum 3	strata3	strata3	chr12	313901790	313904784	+	1245.91325	female-biased	0.115585734966642	scaffold_12-1	9345298	9348271	+	2288.335	male-biased	0.122582561292741	leaves	Male	3534.24825	0.238168296259383	1.83667281811153	1.06053364914034
_scaffold_12_000072	_scaffold_12_000072.1	_chr12_001148	_chr12_001148.1	166307745	scaffold_12-1	12562901	51627246	inverted	stratum 2	strata3	strata2	chr12	166307745	166310466	+	2972.25	unbiased	0.0408638651556885	scaffold_12-1	12562901	12566354	+	0	male-biased	0	flowers	Female	2972.25	0.0408638651556885		
_scaffold_12_000072	_scaffold_12_000072.1	_chr12_001148	_chr12_001148.1	166307745	scaffold_12-1	12562901	51627246	inverted	stratum 2	strata3	strata2	chr12	166307745	166310466	+	1005.5	unbiased	0.0623981607850798	scaffold_12-1	12562901	12566354	+	841.5	male-biased	0.0168057327021987	flowers	Male	1847	0.0792038934872785	0.836897066136251	0.269330577868846
_scaffold_12_000072	_scaffold_12_000072.1	_chr12_001148	_chr12_001148.1	166307745	scaffold_12-1	12562901	51627246	inverted	stratum 2	strata3	strata2	chr12	166307745	166310466	+	7273.25	female-biased	0.085528881507112	scaffold_12-1	12562901	12566354	+	0	male-biased	0	leaves	Female	7273.25	0.085528881507112		
_scaffold_12_000072	_scaffold_12_000072.1	_chr12_001148	_chr12_001148.1	166307745	scaffold_12-1	12562901	51627246	inverted	stratum 2	strata3	strata2	chr12	166307745	166310466	+	3191.1425	female-biased	0.0655197339005083	scaffold_12-1	12562901	12566354	+	1939.1075	male-biased	0.0513810857968587	leaves	Male	5130.25	0.116900819697367	0.607653058426567	0.784207791119556
_scaffold_12_000140	_scaffold_12_000140.1	_chr12_000172	_chr12_000172.1	5027048	scaffold_12-1	23187276	5027048	non_inv	stratum 2	strata2	strata1	chr12	5027048	5031174	+	7.00354	unbiased	0.2330732713145	scaffold_12-1	23187276	23188680	+	0	unbiased	0	flowers	Female	7.00354	0.2330732713145		
_scaffold_12_000140	_scaffold_12_000140.1	_chr12_000172	_chr12_000172.1	5027048	scaffold_12-1	23187276	5027048	non_inv	stratum 2	strata2	strata1	chr12	5027048	5031174	+	4.25	unbiased	0.157499625244913	scaffold_12-1	23187276	23188680	+	0	unbiased	0	flowers	Male	4.25	0.157499625244913	0	0
_scaffold_12_000140	_scaffold_12_000140.1	_chr12_000172	_chr12_000172.1	5027048	scaffold_12-1	23187276	5027048	non_inv	stratum 2	strata2	strata1	chr12	5027048	5031174	+	14.00016	unbiased	0.424044610303938	scaffold_12-1	23187276	23188680	+	0	unbiased	0	leaves	Female	14.00016	0.424044610303938		
_scaffold_12_000140	_scaffold_12_000140.1	_chr12_000172	_chr12_000172.1	5027048	scaffold_12-1	23187276	5027048	non_inv	stratum 2	strata2	strata1	chr12	5027048	5031174	+	2	unbiased	0.202635399163903	scaffold_12-1	23187276	23188680	+	0	unbiased	0.0325162551198063	leaves	Male	2	0.235151654283709	0	0.16046680517803
_scaffold_12_000163	_scaffold_12_000163.1	_chr12_004948	_chr12_004948.1	5188524	scaffold_12-1	27481576	5188524	non_inv	stratum 2	strata2	strata2	chr12	5188524	5197498	-	2321.75	unbiased	0.116791130145972	scaffold_12-1	27481576	27491205	+	0	male-biased	0	flowers	Female	2321.75	0.116791130145972		
_scaffold_12_000163	_scaffold_12_000163.1	_chr12_004948	_chr12_004948.1	5188524	scaffold_12-1	27481576	5188524	non_inv	stratum 2	strata2	strata2	chr12	5188524	5197498	-	1410.041	unbiased	0.0588950145804255	scaffold_12-1	27481576	27491205	+	1096.2095	male-biased	0.0295595854957844	flowers	Male	2506.2505	0.0884546000762099	0.777430939951391	0.501903016857541
_scaffold_12_000163	_scaffold_12_000163.1	_chr12_004948	_chr12_004948.1	5188524	scaffold_12-1	27481576	5188524	non_inv	stratum 2	strata2	strata2	chr12	5188524	5197498	-	2157.25	unbiased	0.163461352307361	scaffold_12-1	27481576	27491205	+	0	male-biased	0	leaves	Female	2157.25	0.163461352307361		
_scaffold_12_000163	_scaffold_12_000163.1	_chr12_004948	_chr12_004948.1	5188524	scaffold_12-1	27481576	5188524	non_inv	stratum 2	strata2	strata2	chr12	5188524	5197498	-	1588.209	unbiased	0.0757493465850529	scaffold_12-1	27481576	27491205	+	2026.29	male-biased	0.0482658505167068	leaves	Male	3614.499	0.12401519710176	1.27583334435203	0.637178440377871
_scaffold_12_000165	_scaffold_12_000165.1	_chr12_004949	_chr12_004949.1	5166849	scaffold_12-1	27747969	5166849	non_inv	stratum 2	strata2	strata1	chr12	5166849	5178246	-	1749.81925	unbiased	0.1079219071177	scaffold_12-1	27747969	27766188	+	0	male-biased	0	flowers	Female	1749.81925	0.1079219071177		
_scaffold_12_000165	_scaffold_12_000165.1	_chr12_004949	_chr12_004949.1	5166849	scaffold_12-1	27747969	5166849	non_inv	stratum 2	strata2	strata1	chr12	5166849	5178246	-	780.61525	unbiased	0.0828457770596887	scaffold_12-1	27747969	27766188	+	453.1925	male-biased	0.0616160547241785	flowers	Male	1233.80775	0.144461831783867	0.580558091838457	0.743744061689293
_scaffold_12_000165	_scaffold_12_000165.1	_chr12_004949	_chr12_004949.1	5166849	scaffold_12-1	27747969	5166849	non_inv	stratum 2	strata2	strata1	chr12	5166849	5178246	-	835.72	female-biased	0.123255440635903	scaffold_12-1	27747969	27766188	+	0	male-biased	0	leaves	Female	835.72	0.123255440635903		
_scaffold_12_000165	_scaffold_12_000165.1	_chr12_004949	_chr12_004949.1	5166849	scaffold_12-1	27747969	5166849	non_inv	stratum 2	strata2	strata1	chr12	5166849	5178246	-	374.77425	female-biased	0.231346856894946	scaffold_12-1	27747969	27766188	+	160.6135	male-biased	0.046455735445454	leaves	Male	535.38775	0.2778025923404	0.428560660184098	0.200805561264009
_scaffold_12_000174	_scaffold_12_000174.1	_chr12_003895	_chr12_003895.1	236370637	scaffold_12-1	29932491	236370637	non_inv	stratum 2	strata3	strata2	chr12	236370637	236377204	-	1203.12	female-biased	0.0425404292116509	scaffold_12-1	29932491	29942042	+	0	unbiased	0	flowers	Female	1203.12	0.0425404292116509		
_scaffold_12_000174	_scaffold_12_000174.1	_chr12_003895	_chr12_003895.1	236370637	scaffold_12-1	29932491	236370637	non_inv	stratum 2	strata3	strata2	chr12	236370637	236377204	-	320.26825	female-biased	0.0358939986759647	scaffold_12-1	29932491	29942042	+	7.009255	unbiased	0.0914529411454849	flowers	Male	327.277505	0.12734693982145	0.0218855756073229	2.54786160692438
_scaffold_12_000174	_scaffold_12_000174.1	_chr12_003895	_chr12_003895.1	236370637	scaffold_12-1	29932491	236370637	non_inv	stratum 2	strata3	strata2	chr12	236370637	236377204	-	629.6435	unbiased	0.0513833788682194	scaffold_12-1	29932491	29942042	+	0	unbiased	0	leaves	Female	629.6435	0.0513833788682194		
_scaffold_12_000174	_scaffold_12_000174.1	_chr12_003895	_chr12_003895.1	236370637	scaffold_12-1	29932491	236370637	non_inv	stratum 2	strata3	strata2	chr12	236370637	236377204	-	374.89175	unbiased	0.0302352808189944	scaffold_12-1	29932491	29942042	+	7	unbiased	0.123235850223545	leaves	Male	381.89175	0.153471131042539	0.0186720566670245	4.07589567172552
_scaffold_12_000179	_scaffold_12_000179.1	_chr12_004687	_chr12_004687.1	16037070	scaffold_12-1	31090497	16037070	non_inv	stratum 2	strata2	strata2	chr12	16037070	16039168	-	3548.75	unbiased	0.0879475499011732	scaffold_12-1	31090497	31116975	+	0	male-biased	0	flowers	Female	3548.75	0.0879475499011732		
_scaffold_12_000179	_scaffold_12_000179.1	_chr12_004687	_chr12_004687.1	16037070	scaffold_12-1	31090497	16037070	non_inv	stratum 2	strata2	strata2	chr12	16037070	16039168	-	2574.01	unbiased	0.0847616573690457	scaffold_12-1	31090497	31116975	+	3184.49	male-biased	0.0337147446896512	flowers	Male	5758.5	0.118476402058697	1.23717079576225	0.397759384798952
_scaffold_12_000179	_scaffold_12_000179.1	_chr12_004687	_chr12_004687.1	16037070	scaffold_12-1	31090497	16037070	non_inv	stratum 2	strata2	strata2	chr12	16037070	16039168	-	31.75	unbiased	0.246305056413855	scaffold_12-1	31090497	31116975	+	0	male-biased	0	leaves	Female	31.75	0.246305056413855		
_scaffold_12_000179	_scaffold_12_000179.1	_chr12_004687	_chr12_004687.1	16037070	scaffold_12-1	31090497	16037070	non_inv	stratum 2	strata2	strata2	chr12	16037070	16039168	-	19.5	unbiased	0.156843138490621	scaffold_12-1	31090497	31116975	+	26	male-biased	0.0965239837573696	leaves	Male	45.5	0.253367122247991	1.33333333333333	0.615417318769999
_scaffold_12_000185	_scaffold_12_000185.1	_chr12_004954	_chr12_004954.1	4932166	scaffold_12-1	32413179	4932166	non_inv	stratum 2	strata2	strata1	chr12	4932166	4937795	-	12214	unbiased	0.0210926778633988	scaffold_12-1	32413179	32420850	+	0	male-biased	0	flowers	Female	12214	0.0210926778633988		
_scaffold_12_000185	_scaffold_12_000185.1	_chr12_004954	_chr12_004954.1	4932166	scaffold_12-1	32413179	4932166	non_inv	stratum 2	strata2	strata1	chr12	4932166	4937795	-	4584.335	unbiased	0.05138790312504	scaffold_12-1	32413179	32420850	+	2845.165	male-biased	0.0241621656422443	flowers	Male	7429.5	0.0755500687672843	0.620627637378158	0.470191702188189
