pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
BEL1	chrY	485030	485031	0.0	1	0	15	8
POL3	chrY	485030	485031	0.0	1	0	21	7
POL3	chrY	1119845	1119846	0.0	1	0	10	9
BEL1	chrY	1119845	1119846	0.0	1	0	10	9
POL3	chrY	5238645	5238646	0.0	1	0	15	8
BEL1	chrY	5238645	5238646	0.0	1	0	21	7
POL3	chrY	6299272	6299392	0.0	120	0	1824	956
BEL1	chrY	6299272	6299392	0.0	120	0	2490	845
POL3	chrY	6299530	6299655	0.0	124	0	1790	1006
BEL1	chrY	6299530	6299655	0.0	124	0	2412	900
POL3	chrY	7157185	7157186	0.0	1	0	15	8
BEL1	chrY	7157185	7157186	0.0	1	0	10	9
POL3	chrY	7172189	7172190	0.0	1	0	21	7
BEL1	chrY	7172189	7172190	0.0	1	0	21	7
POL3	chrY	7353967	7353968	0.0	1	0	15	8
BEL1	chrY	7353967	7353968	0.0	1	0	15	8
POL3	chrY	7444014	7444015	0.0	1	0	10	9
BEL1	chrY	7444014	7444015	0.0	1	0	15	8
POL3	chrY	7444281	7444282	0.0	1	0	10	9
BEL1	chrY	7444281	7444282	0.0	1	0	15	8
POL3	chrY	14930907	14930908	0.0	1	0	21	7
BEL1	chrY	14930907	14930908	0.0	1	0	10	9
BEL1	chrY	19856020	19856021	0.0	1	0	15	8
POL3	chrY	19856020	19856021	0.0	1	0	15	8
POL3	chrY	23339096	23339097	0.0	1	0	21	7
BEL1	chrY	23339096	23339097	0.0	1	0	21	7
POL3	chrY	23867222	23867223	0.0	1	0	10	9
BEL1	chrY	23867222	23867223	0.0	1	0	15	8
POL3	chrY	27166802	27166803	0.0	1	0	21	7
BEL1	chrY	27166802	27166803	0.0	1	0	21	7
POL3	chrY	27481768	27481769	0.0	1	0	10	9
BEL1	chrY	27481768	27481769	0.0	1	0	15	8
POL3	chrY	29179979	29179980	0.0	1	0	21	7
BEL1	chrY	29179979	29179980	0.0	1	0	21	7
POL3	chrY	29999089	29999090	0.0	1	0	15	8
BEL1	chrY	29999089	29999090	0.0	1	0	15	8
POL3	chrY	30485495	30485496	0.0	1	0	10	9
BEL1	chrY	30485495	30485496	0.0	1	0	10	9
POL3	chrY	31638354	31638355	0.0	1	0	10	9
BEL1	chrY	31638354	31638355	0.0	1	0	15	8
BEL1	chrY	31638577	31638578	0.0	1	0	15	8
POL3	chrY	31638577	31638578	0.0	1	0	10	9
POL3	chrY	34604655	34604656	0.0	1	0	21	7
BEL1	chrY	34604655	34604656	0.0	1	0	10	9
BEL1	chrY	34604881	34604882	0.0	1	0	15	8
POL3	chrY	34604881	34604882	0.0	1	0	21	7
POL3	chrY	40996807	40996808	0.0	1	0	10	9
BEL1	chrY	40996807	40996808	0.0	1	0	21	7
BEL1	chrY	42856234	42856235	0.0	1	0	21	7
POL3	chrY	42856234	42856235	0.0	1	0	15	8
POL3	chrY	42856466	42856467	0.0	1	0	15	8
BEL1	chrY	42856466	42856467	0.0	1	0	21	7
BEL1	chrY	42932671	42932672	0.0	1	0	21	7
POL3	chrY	42932671	42932672	0.0	1	0	15	8
POL3	chrY	42933063	42933064	0.0	1	0	21	7
BEL1	chrY	42933063	42933064	0.0	1	0	21	7
