pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_hudson_fst	no_snps
BEL1	FRA1	chrY	133995742	133995859	1.0	4
BEL1	FRA1	chrY	133995999	133996123	1.0	3
BEL1	FRA1	chrY	167666661	167666781	0.8333333333333334	6
BEL1	FRA1	chrY	169694281	169694401	0.7142857142857143	6
BEL1	FRA1	chrY	235173552	235173553	NA	1
BEL1	FRA1	chrY	242924654	242924655	0.0	1
BEL1	FRA1	chrY	259283591	259283716	1.0	5
BEL1	FRA1	chrY	260753966	260753967	NA	1
BEL1	FRA1	chrY	318459547	318459548	NA	1
BEL1	FRA1	chrY	376052614	376052739	1.0	4
BEL1	FRA1	chrY	376052872	376052992	1.0	6
BEL1	FRA1	chrY	380208540	380208659	1.0	5
BEL1	FRA1	chrY	400645481	400645598	1.0	11
BEL1	FRA1	chrY	400645738	400645863	1.0	4
BEL1	FRA1	chrY	407306509	407306634	0.9333333333333332	5
BEL1	FRA1	chrY	407306762	407306882	1.0	4
BEL1	FRA1	chrY	416646322	416646447	1.0	10
BEL1	FRA1	chrY	416646622	416646737	1.0	1
BEL1	FRA1	chrY	437229428	437229429	0.0	1
BEL1	FRA1	chrY	455889992	455890117	1.0	1
BEL1	FRA1	chrY	455890318	455890438	1.0	1
BEL1	FRA1	chrY	470621675	470621676	0.4	1
