row,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
_chr4_002679,462.220662154097,-1.9091342217278,0.158569517112614,-12.0397303119234,2.19672609810544e-33,5.30377549126576e-29
_chr4_000324,590.168142438123,1.22429650286323,0.110193783525262,11.1103953752759,1.11664000858104e-28,8.98671878906023e-25
_chr11_003664,435.196655344654,-2.12954393639464,0.191345425012516,-11.1293172348142,9.03246908542202e-29,8.98671878906023e-25
_chr12_001886,1239.38739917932,1.08479319113527,0.103363166425398,10.4949686493807,9.11079545511052e-26,5.49927613670471e-22
_chr4_000566,215.474252479699,-1.97062437561869,0.188409209268786,-10.4592784146097,1.328636209887e-25,6.41571853030233e-22
_chr12_003846,1265.24956856063,1.05104103782695,0.102793713713409,10.2247598599004,1.53608195846644e-24,6.18119380086894e-21
_chr9_001397,466.046944421063,-1.61878884220144,0.161266483924337,-10.0379744309484,1.03783373128985e-23,3.5796368011803e-20
_chr12_002874,250.315969298119,-1.97716137933224,0.200622550926412,-9.8551302941884,6.51321623656575e-23,1.96568866019554e-19
_chr2_000699,613.38859555369,-1.673598821599,0.170746920590741,-9.80163399614337,1.10778899398134e-22,2.97182860785394e-19
_chr12_000645,106.875935769501,-2.04300926214349,0.212891312287445,-9.59648958988531,8.27135690829013e-22,1.99703641193757e-18
_chr9_000174,414.918821775885,1.45614755230402,0.153105320209158,9.51075736829238,1.89279397104397e-21,4.15451069426232e-18
_chr4_000112,168.906275203109,-1.82273081701113,0.19191388491135,-9.49764952052896,2.14681183236883e-21,4.31938540672608e-18
_chr12_001731,169.693113337411,1.66657209036451,0.175739168643844,9.48321369234431,2.46569857575951e-21,4.57937126254904e-18
_chr2_002517,559.494775888373,-26.3991214028363,2.79600297412915,-9.44173580897515,3.66654261130175e-21,6.32321462909068e-18
_chr2_001821,79.9228388957065,2.34200452236964,0.251984395336219,9.29424426954986,1.48255640634596e-20,2.38632279165446e-17
_chr3_002328,846.030818374065,-26.6496626444174,2.87382392934864,-9.2732412630643,1.80573383140308e-20,2.72485235158724e-17
_chr7_002987,364.121486397795,2.67396333567889,0.291459433893435,9.17439281329476,4.54126471293166e-20,6.26742670374119e-17
_chr12_003061,854.64391934635,-26.9572554076922,2.93929878991906,-9.17132191533158,4.67253481889254e-20,6.26742670374119e-17
_chr8_001142,281.5822253458,-1.20555790744695,0.131957354721299,-9.13596600957302,6.48254029134823e-20,8.23760277864798e-17
_chr7_000716,282.482016469525,1.64829518871894,0.181006162235776,9.10629322427098,8.52447201035156e-20,1.02907426108964e-16
_chr4_001567,1214.99054343863,-1.73788189348601,0.191867693327882,-9.05770983818599,1.33218083541642e-19,1.53162733763305e-16
_chr12_001887,529.877708609151,1.13766055480629,0.126020293850452,9.02759801652543,1.75481109763189e-19,1.9258254155102e-16
_chr8_002835,472.823448255427,0.780034745695079,0.0866454893873101,9.00260072637227,2.2043280316636e-19,2.31396939115157e-16
_chr6_001659,1124.95602384812,-26.7854623295886,3.01614964215422,-8.88068083732664,6.64523664749848e-19,6.68510806738347e-16
_chr9_003585,164.722482167273,1.63096190517814,0.183983651433841,8.86471103528796,7.67027384562378e-19,7.40764366914962e-16
