X_transcriptName	tissue	sRNA24_exp	strata	Allele
_chr12_003487.1	flowers	0.0516668024485255	stratum 3	"(X+X)/2
Female"
_chr12_003487.1	leaves	0.0669659903360985	stratum 3	"(X+X)/2
Female"
_chr12_003488.1	flowers	0.02420461234317	stratum 3	"(X+X)/2
Female"
_chr12_003488.1	leaves	0.0200746657202513	stratum 3	"(X+X)/2
Female"
_chr12_001716.1	flowers	0.008808766071929	stratum 3	"(X+X)/2
Female"
_chr12_001716.1	leaves	0.0240052033093655	stratum 3	"(X+X)/2
Female"
_chr12_001717.1	flowers	0.065345835338696	stratum 3	"(X+X)/2
Female"
_chr12_001717.1	leaves	0.069632613075568	stratum 3	"(X+X)/2
Female"
_chr12_001148.1	flowers	0.0204319325778443	stratum 2	"(X+X)/2
Female"
_chr12_001148.1	leaves	0.042764440753556	stratum 2	"(X+X)/2
Female"
_chr12_000172.1	flowers	0.11653663565725	stratum 2	"(X+X)/2
Female"
_chr12_000172.1	leaves	0.212022305151969	stratum 2	"(X+X)/2
Female"
_chr12_004948.1	flowers	0.058395565072986	stratum 2	"(X+X)/2
Female"
_chr12_004948.1	leaves	0.0817306761536805	stratum 2	"(X+X)/2
Female"
_chr12_004949.1	flowers	0.05396095355885	stratum 2	"(X+X)/2
Female"
_chr12_004949.1	leaves	0.0616277203179515	stratum 2	"(X+X)/2
Female"
_chr12_003895.1	flowers	0.0212702146058255	stratum 2	"(X+X)/2
Female"
_chr12_003895.1	leaves	0.0256916894341097	stratum 2	"(X+X)/2
Female"
_chr12_004687.1	flowers	0.0439737749505866	stratum 2	"(X+X)/2
Female"
_chr12_004687.1	leaves	0.123152528206928	stratum 2	"(X+X)/2
Female"
_chr12_004954.1	flowers	0.0105463389316994	stratum 2	"(X+X)/2
Female"
_chr12_004954.1	leaves	0.0311055401716908	stratum 2	"(X+X)/2
Female"
_chr12_001531.1	flowers	0.0260846229281934	stratum 3	"(X+X)/2
Female"
_chr12_001531.1	leaves	0.0231743837547193	stratum 3	"(X+X)/2
Female"
_chr12_004662.1	flowers	0.0184824639254122	stratum 2	"(X+X)/2
Female"
_chr12_004662.1	leaves	0.0179688208382655	stratum 2	"(X+X)/2
Female"
_chr12_003517.1	flowers	0.0438295028337219	stratum 3	"(X+X)/2
Female"
_chr12_003517.1	leaves	0.070827163822648	stratum 3	"(X+X)/2
Female"
_chr12_001121.1	flowers	0.055128054842013	stratum 2	"(X+X)/2
Female"
_chr12_001121.1	leaves	0.0641468109030055	stratum 2	"(X+X)/2
Female"
_chr12_003512.1	flowers	0.0099156421800549	stratum 3	"(X+X)/2
Female"
_chr12_003512.1	leaves	0.024005050878259	stratum 3	"(X+X)/2
Female"
_chr12_005009.1	flowers	0.121643367171598	stratum 1	"(X+X)/2
Female"
_chr12_005009.1	leaves	0.0660068061144175	stratum 1	"(X+X)/2
Female"
_chr12_000170.1	flowers	0.0382114693092527	stratum 2	"(X+X)/2
Female"
_chr12_000170.1	leaves	0.0877984780845475	stratum 2	"(X+X)/2
Female"
_chr12_000034.1	flowers	0.0097891058289341	stratum 1	"(X+X)/2
Female"
_chr12_000034.1	leaves	0.0342721939243378	stratum 1	"(X+X)/2
Female"
_chr12_001086.1	flowers	0.0147964072602252	stratum 2	"(X+X)/2
Female"
