pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
FRA1	chrY	485030	485031	0.0	1	0	10	5
POL3	chrY	485030	485031	0.0	1	0	21	7
FRA1	chrY	654010	654011	0.0	1	0	6	6
POL3	chrY	654010	654011	0.0	1	0	10	9
FRA1	chrY	654322	654323	0.0	1	0	6	6
POL3	chrY	654322	654323	0.0	1	0	10	9
FRA1	chrY	1940423	1940424	0.4	1	4	10	5
POL3	chrY	1940423	1940424	0.0	1	0	10	9
POL3	chrY	1940661	1940662	0.0	1	0	10	9
FRA1	chrY	1940661	1940662	0.0	1	0	10	5
FRA1	chrY	2768033	2768034	0.0	1	0	10	5
POL3	chrY	2768033	2768034	0.0	1	0	10	9
POL3	chrY	6126937	6127057	0.0	117	0	1190	1049
FRA1	chrY	6126937	6127057	0.0	117	0	702	702
FRA1	chrY	6275018	6275019	0.0	1	0	6	6
POL3	chrY	6275018	6275019	0.0	1	0	21	7
POL3	chrY	7172189	7172190	0.0	1	0	21	7
FRA1	chrY	7172189	7172190	0.0	1	0	10	5
FRA1	chrY	9599131	9599132	0.0	1	0	10	5
POL3	chrY	9599131	9599132	0.0	1	0	21	7
FRA1	chrY	9639144	9639145	0.0	1	0	6	6
POL3	chrY	9639144	9639145	0.0	1	0	15	8
FRA1	chrY	10744203	10744204	0.0	1	0	6	6
POL3	chrY	10744203	10744204	0.0	1	0	15	8
POL3	chrY	10996083	10996207	0.0	107	0	1605	856
FRA1	chrY	10996083	10996207	0.0	107	0	642	642
POL3	chrY	14930907	14930908	0.0	1	0	21	7
FRA1	chrY	14930907	14930908	0.0	1	0	10	5
POL3	chrY	16712056	16712057	0.0	1	0	21	7
FRA1	chrY	16712056	16712057	0.0	1	0	10	5
POL3	chrY	18449256	18449257	0.0	1	0	15	8
FRA1	chrY	18449256	18449257	0.0	1	0	10	5
POL3	chrY	18857563	18857564	0.0	1	0	10	9
FRA1	chrY	18857563	18857564	0.0	1	0	6	6
FRA1	chrY	23339096	23339097	0.0	1	0	10	5
POL3	chrY	23339096	23339097	0.0	1	0	21	7
FRA1	chrY	23476757	23476758	0.0	1	0	10	5
POL3	chrY	23476757	23476758	0.0	1	0	21	7
POL3	chrY	27166802	27166803	0.0	1	0	21	7
FRA1	chrY	27166802	27166803	0.0	1	0	10	5
FRA1	chrY	29999089	29999090	0.0	1	0	6	6
POL3	chrY	29999089	29999090	0.0	1	0	15	8
FRA1	chrY	31104379	31104380	0.0	1	0	10	5
POL3	chrY	31104379	31104380	0.0	1	0	21	7
FRA1	chrY	31104616	31104617	0.0	1	0	10	5
POL3	chrY	31104616	31104617	0.0	1	0	21	7
FRA1	chrY	34090450	34090451	0.0	1	0	10	5
POL3	chrY	34090450	34090451	0.0	1	0	15	8
FRA1	chrY	34815083	34815084	0.0	1	0	10	5
POL3	chrY	34815083	34815084	0.0	1	0	15	8
POL3	chrY	39090172	39090297	0.0056980056980056	118	10	1755	947
FRA1	chrY	39090172	39090297	0.0	118	0	1016	631
FRA1	chrY	39477539	39477664	0.0	106	0	1000	545
POL3	chrY	39477539	39477664	0.0037735849056603	106	4	1060	954
POL3	chrY	39477822	39477940	0.0	105	0	1050	945
FRA1	chrY	39477822	39477940	0.0	105	0	990	540
FRA1	chrY	40996807	40996808	0.0	1	0	10	5
POL3	chrY	40996807	40996808	0.0	1	0	10	9
FRA1	chrY	41495159	41495160	0.0	1	0	6	6
POL3	chrY	41495159	41495160	0.0	1	0	21	7
FRA1	chrY	41752218	41752219	0.0	1	0	10	5
POL3	chrY	41752218	41752219	0.0	1	0	21	7
FRA1	chrY	41752427	41752428	0.0	1	0	10	5
POL3	chrY	41752427	41752428	0.0	1	0	21	7
POL3	chrY	41936259	41936260	0.0	1	0	15	8
FRA1	chrY	41936259	41936260	0.0	1	0	6	6
FRA1	chrY	42237150	42237151	0.0	1	0	10	5
POL3	chrY	42237150	42237151	0.0	1	0	21	7
FRA1	chrY	42310728	42310729	0.0	1	0	10	5
POL3	chrY	42310728	42310729	0.0	1	0	15	8
FRA1	chrY	42311130	42311131	0.0	1	0	10	5
POL3	chrY	42311130	42311131	0.0	1	0	15	8
FRA1	chrY	42932671	42932672	0.0	1	0	6	6
POL3	chrY	42932671	42932672	0.0	1	0	15	8
FRA1	chrY	42933063	42933064	0.0	1	0	10	5
POL3	chrY	42933063	42933064	0.0	1	0	21	7
POL3	chrY	43698891	43698892	0.0	1	0	15	8
FRA1	chrY	43698891	43698892	0.0	1	0	10	5
POL3	chrY	44756912	44756913	0.0	1	0	21	7
FRA1	chrY	44756912	44756913	0.0	1	0	10	5
POL3	chrY	45613372	45613373	0.0	1	0	15	8
FRA1	chrY	45613372	45613373	0.0	1	0	6	6
POL3	chrY	46420882	46420883	0.0	1	0	21	7
FRA1	chrY	46420882	46420883	0.0	1	0	10	5
POL3	chrY	47167903	47167904	0.0	1	0	15	8
FRA1	chrY	47167903	47167904	0.0	1	0	10	5
FRA1	chrY	47168218	47168219	0.0	1	0	10	5
POL3	chrY	47168218	47168219	0.0	1	0	15	8
POL3	chrY	47465132	47465252	0.0	106	0	1104	946
FRA1	chrY	47465132	47465252	0.0	106	0	960	555
FRA1	chrY	48363353	48363354	0.0	1	0	10	5
POL3	chrY	48363353	48363354	0.0	1	0	10	9
FRA1	chrY	48363653	48363654	0.0	1	0	10	5
POL3	chrY	48363653	48363654	0.0	1	0	10	9
FRA1	chrY	53046442	53046443	0.0	1	0	10	5
POL3	chrY	53046442	53046443	0.0	1	0	21	7
FRA1	chrY	55908127	55908128	0.0	1	0	6	6
POL3	chrY	55908127	55908128	0.0	1	0	10	9
POL3	chrY	55982888	55982889	0.0	1	0	15	8
FRA1	chrY	55982888	55982889	0.0	1	0	10	5
FRA1	chrY	57560517	57560518	0.0	1	0	10	5
POL3	chrY	57560517	57560518	0.0	1	0	15	8
FRA1	chrY	57560744	57560745	0.0	1	0	10	5
POL3	chrY	57560744	57560745	0.0	1	0	15	8
POL3	chrY	59383381	59383382	0.0	1	0	21	7
FRA1	chrY	59383381	59383382	0.0	1	0	6	6
POL3	chrY	60029185	60029186	0.0	1	0	15	8
FRA1	chrY	60029185	60029186	0.0	1	0	6	6
POL3	chrY	61131784	61131785	0.0	1	0	21	7
FRA1	chrY	61131784	61131785	0.0	1	0	10	5
POL3	chrY	61912235	61912236	0.0	1	0	21	7
FRA1	chrY	61912235	61912236	0.0	1	0	6	6
FRA1	chrY	69540430	69540431	0.0	1	0	10	5
POL3	chrY	69540430	69540431	0.0	1	0	21	7
FRA1	chrY	69931386	69931387	0.0	1	0	6	6
POL3	chrY	69931386	69931387	0.0	1	0	15	8
POL3	chrY	70962889	70962890	0.0	1	0	21	7
FRA1	chrY	70962889	70962890	0.0	1	0	10	5
FRA1	chrY	72988891	72989011	0.0	101	0	606	606
POL3	chrY	72988891	72989011	0.0	101	0	1010	909
FRA1	chrY	74277979	74278104	0.0	125	0	1210	635
POL3	chrY	74277979	74278104	0.0	125	0	2283	932
POL3	chrY	74278243	74278358	0.0023020257826887	116	5	2172	856
FRA1	chrY	74278243	74278358	0.0	116	0	1152	582
POL3	chrY	76176218	76176219	0.0	1	0	21	7
FRA1	chrY	76176218	76176219	0.0	1	0	10	5
POL3	chrY	76895470	76895471	0.0	1	0	15	8
FRA1	chrY	76895470	76895471	0.0	1	0	10	5
POL3	chrY	76895738	76895739	0.0	1	0	15	8
FRA1	chrY	76895738	76895739	0.0	1	0	10	5
POL3	chrY	77537546	77537547	0.0	1	0	21	7
FRA1	chrY	77537546	77537547	0.0	1	0	6	6
FRA1	chrY	77537698	77537699	0.0	1	0	6	6
POL3	chrY	77537698	77537699	0.0	1	0	21	7
POL3	chrY	79483342	79483459	0.0	110	0	1105	989
FRA1	chrY	79483342	79483459	0.0181818181818181	110	20	1100	550
FRA1	chrY	82272833	82272834	0.0	1	0	10	5
POL3	chrY	82272833	82272834	0.0	1	0	21	7
FRA1	chrY	82273226	82273227	0.0	1	0	10	5
POL3	chrY	82273226	82273227	0.0	1	0	21	7
FRA1	chrY	83213575	83213576	0.0	1	0	6	6
POL3	chrY	83213575	83213576	0.0	1	0	21	7
POL3	chrY	83213895	83213896	0.0	1	0	21	7
FRA1	chrY	83213895	83213896	0.0	1	0	6	6
FRA1	chrY	83452686	83452687	0.0	1	0	10	5
POL3	chrY	83452686	83452687	0.0	1	0	15	8
FRA1	chrY	84261869	84261870	0.0	1	0	10	5
POL3	chrY	84261869	84261870	0.0	1	0	10	9
POL3	chrY	85646137	85646138	0.0	1	0	21	7
FRA1	chrY	85646137	85646138	0.0	1	0	10	5
FRA1	chrY	85646534	85646535	0.0	1	0	10	5
POL3	chrY	85646534	85646535	0.0	1	0	21	7
POL3	chrY	88267853	88267854	0.0	1	0	10	9
FRA1	chrY	88267853	88267854	0.5	1	3	6	6
FRA1	chrY	88268296	88268297	0.0	1	0	10	5
POL3	chrY	88268296	88268297	0.0	1	0	15	8
FRA1	chrY	90529171	90529172	0.0	1	0	10	5
POL3	chrY	90529171	90529172	0.0	1	0	21	7
FRA1	chrY	90529498	90529499	0.0	1	0	10	5
POL3	chrY	90529498	90529499	0.0	1	0	21	7
FRA1	chrY	92977486	92977487	0.0	1	0	10	5
POL3	chrY	92977486	92977487	0.0	1	0	15	8
POL3	chrY	94026765	94026766	0.0	1	0	21	7
FRA1	chrY	94026765	94026766	0.0	1	0	6	6
FRA1	chrY	94405797	94405917	0.0	120	0	1176	606
POL3	chrY	94405797	94405917	0.0	120	0	1620	996
FRA1	chrY	95406495	95406496	0.0	1	0	10	5
POL3	chrY	95406495	95406496	0.0	1	0	15	8
FRA1	chrY	95406774	95406775	0.0	1	0	10	5
POL3	chrY	95406774	95406775	0.0	1	0	15	8
FRA1	chrY	97134677	97134678	0.0	1	0	6	6
POL3	chrY	97134677	97134678	0.0	1	0	21	7
FRA1	chrY	97134810	97134811	0.0	1	0	6	6
POL3	chrY	97134810	97134811	0.0	1	0	21	7
FRA1	chrY	98201266	98201267	0.0	1	0	10	5
