chromosome,beg,end,strand,gene_name,log2FC,pval_adj,DE
chr1,392630,395247,+,_chr1_000021,-5.6923563826926,0.000988190081208575,down
chr1,1140034,1145029,+,_chr1_000050,-0.689614886454335,0.0287078438603706,down
chr1,1360266,1363053,+,_chr1_000065,-3.85067809147148,0.0100388803878192,down
chr1,1863761,1865901,+,_chr1_000079,5.59658239627912,2.06671687385978e-05,up
chr1,2052159,2056011,+,_chr1_000089,2.07672631947616,3.02407729810191e-06,up
chr1,2141559,2145953,+,_chr1_000092,-1.15082363993711,0.0156352398893296,down
chr1,2585499,2587640,+,_chr1_000109,-0.834881856468976,0.000727689316956767,down
chr1,2821993,2828776,+,_chr1_000118,-1.24918553176714,1.32922656243332e-09,down
chr1,2886274,2888367,+,_chr1_000125,6.81564648590964,9.72492349486579e-06,up
chr1,3034538,3038595,+,_chr1_000131,-0.503372677980422,0.0199256567383611,down
chr1,3054572,3055695,+,_chr1_000132,0.588557385880815,0.0193002323608637,up
chr1,3509392,3512614,+,_chr1_000155,1.25780001823577,1.51477115341059e-08,up
chr1,3835581,3838286,+,_chr1_000174,-1.13263073439448,5.40472963995387e-07,down
chr1,3896301,3903304,+,_chr1_000179,2.39465235474894,0.00152324151890212,up
chr1,4570541,4572015,+,_chr1_000227,2.83993858095733,7.46320949673271e-05,up
chr1,4582362,4583739,+,_chr1_000229,2.71029115435023,0.00206229772013442,up
chr1,4595991,4600948,+,_chr1_000232,-0.741509981561662,0.0165843708284743,down
chr1,4628912,4632774,+,_chr1_000234,4.75032098958741,0.0159012858751069,up
chr1,5452610,5456090,+,_chr1_000287,-1.28910908139448,9.12175663066874e-08,down
chr1,5821161,5823287,+,_chr1_000326,-3.19263355424115,0.0358049184220983,down
chr1,5879522,5881667,+,_chr1_000335,-0.70782424969804,0.0133981889573468,down
chr1,6486584,6489544,+,_chr1_000361,-1.98036628394953,6.88964791596806e-06,down
chr1,6550408,6553344,+,_chr1_000370,-1.41227619778814,0.00115762498478611,down
chr1,6557283,6558165,+,_chr1_000372,-1.12818878242455,0.00242581981538713,down
chr1,6558167,6562337,+,_chr1_000373,-0.942182550257207,0.000124105019419282,down
chr1,6639295,6643023,+,_chr1_000378,-0.517965645669842,0.0224207303447594,down
chr1,8357352,8359697,+,_chr1_000442,-4.39872273651594,0.00170098376925072,down
chr1,8447204,8449475,+,_chr1_000445,-2.0179158268877,0.0123352644224138,down
chr1,8667883,8675620,+,_chr1_000459,-0.647549692195904,0.00805450879125309,down
chr1,9127016,9132934,+,_chr1_000469,-1.18153067803816,0.0471792670683509,down
chr1,9638389,9643159,+,_chr1_000487,-2.29670776465323,0.0160380345187702,down
chr1,10516023,10523159,+,_chr1_000520,-1.25550197780333,0.00202764120471809,down
chr1,11375924,11380149,+,_chr1_000545,1.56732289419096,0.0491460400352262,up
chr1,14313658,14323667,+,_chr1_000609,-1.18839115882828,0.035190270562471,down
chr1,14625725,14627778,+,_chr1_000620,-1.91938930764864,0.00105128837337386,down
chr1,18199084,18203920,+,_chr1_000684,-0.624946715714731,0.000143161490814439,down
chr1,18689911,18692435,+,_chr1_000688,-0.799872220612834,0.000238118548152993,down
chr1,20355977,20358781,+,_chr1_000728,6.09829141906541,3.0326372526699e-17,up
chr1,21021853,21024680,+,_chr1_000741,-0.570592266877628,0.000247278599489847,down
chr1,29180573,29189175,+,_chr1_000869,-2.05903861390646,0.00212763535461129,down
chr1,30409937,30412222,+,_chr1_000886,0.750757908251177,0.0131029475739443,up
chr1,34307241,34313617,+,_chr1_000928,0.961788874820178,0.0197620357355905,up
chr1,45125485,45129125,+,_chr1_001072,-0.59800646199063,0.000611724239960781,down
chr1,45225797,45232384,+,_chr1_001074,-1.25054631523679,0.000314267662139179,down
chr1,49950896,49953048,+,_chr1_001097,0.503616451931675,0.000241775745937131,up
chr1,50681744,50682380,+,_chr1_001106,-1.21767303584335,3.37744122203783e-11,down
chr1,50707867,50710628,+,_chr1_001107,-1.31551332692458,0.000497780926755321,down
chr1,75117831,75121602,+,_chr1_001240,-0.609819322372543,0.0178654169011011,down
chr1,78649501,78650815,+,_chr1_001275,-1.26656110437961,0.00165828918543896,down
chr1,79178692,79181502,+,_chr1_001284,-3.06096058717691,0.0314275913714012,down
chr1,79481770,79484832,+,_chr1_001287,-0.595012753512085,0.0014319407128284,down
chr1,84023381,84027695,+,_chr1_001357,-1.79773179312239,0.0345810175400558,down
chr1,87757481,87761414,+,_chr1_001393,2.18999157721312,0.00170395901668205,up
chr1,112197593,112199891,+,_chr1_001550,2.37117653367368,4.70168176285478e-07,up
chr1,124593896,124596470,+,_chr1_001590,1.54184285913359,0.0177172796702878,up
chr1,145472955,145480886,+,_chr1_001659,-0.662925111292081,2.80915708540614e-05,down
chr1,145513802,145520067,+,_chr1_001660,0.664793032041475,0.000218350346836615,up
chr1,169973318,169978094,+,_chr1_001809,5.79708861087433,0.0166615616059563,up
chr1,170095458,170099238,+,_chr1_001817,6.0169839055747,0.00882024418284266,up
chr1,171331503,171337829,+,_chr1_001837,7.98719374581863,1.57973048733965e-09,up
chr1,171353040,171369174,+,_chr1_001838,1.7846543109519,7.93184222911324e-11,up
chr1,171376187,171381222,+,_chr1_001839,9.17742493221194,4.95620807210372e-12,up
chr1,171579778,171584796,+,_chr1_001841,7.41703589858671,7.61812687654692e-50,up
chr1,171651776,171658225,+,_chr1_001842,4.29373129042526,0.00591667965251291,up
chr1,172056611,172059325,+,_chr1_001845,8.39104783914396,1.93088109006891e-181,up
chr1,172061143,172068144,+,_chr1_001846,11.5904340765008,4.31869192508672e-20,up
chr1,172088741,172091417,+,_chr1_001847,11.317460964349,6.38497363398014e-75,up
chr1,172114016,172118071,+,_chr1_001848,8.46720974207318,1.10206258637473e-09,up
chr1,172223438,172226415,+,_chr1_001849,7.51628266434333,1.95726379834563e-10,up
chr1,172378881,172384562,+,_chr1_001850,-0.50680843767227,0.0131630641568048,down
chr1,172498827,172506135,+,_chr1_001851,-0.542868557273805,0.0208946126090964,down
chr1,175098571,175100873,+,_chr1_001879,-1.11247520893264,2.4028108672528e-07,down
chr1,176447733,176450821,+,_chr1_001889,1.0442896645939,0.0154186424678105,up
chr1,179659568,179662993,+,_chr1_001928,-0.95774792413898,0.000614037516141295,down
chr1,180970985,180974745,+,_chr1_001947,-1.73934788758969,4.53438602177195e-11,down
chr1,183720369,183724254,+,_chr1_001980,-1.0594160403736,6.31449770470808e-06,down
chr1,186524316,186530797,+,_chr1_002036,-0.915514741388115,0.000811852907049717,down
chr1,188829830,188831149,+,_chr1_002088,-2.18283651553855,7.39398563715607e-07,down
chr1,189281734,189287896,+,_chr1_002103,1.37578326388095,1.6549299877788e-08,up
chr1,192508408,192513159,+,_chr1_002157,-0.813521520651594,2.87671406332108e-06,down
chr1,192672317,192676922,+,_chr1_002158,0.6459161038721,0.00013990367785657,up
chr1,193268761,193269115,+,_chr1_002171,3.61928686293248,0.00184853476073779,up
chr1,193566403,193567889,+,_chr1_002184,1.67240055057799,2.30006341196081e-05,up
chr1,193743207,193744564,+,_chr1_002198,-2.12038303639949,0.0134982518381814,down
chr1,193847995,193849435,+,_chr1_002205,-0.597770512114851,0.004534130845979,down
chr1,194070979,194079144,+,_chr1_002214,0.727163702830759,8.26671580553436e-09,up
chr1,194761065,194761854,+,_chr1_002222,-1.05032203014885,0.00315967510030262,down
chr1,195026634,195029491,+,_chr1_002231,2.08862396481599,9.84061998402738e-05,up
chr1,195094477,195099527,+,_chr1_002235,0.691107338550899,0.00413716376538617,up
chr1,195165759,195166809,+,_chr1_002236,0.817023069958567,9.32283666680312e-05,up
chr1,195378022,195388698,+,_chr1_002241,0.580281244022696,1.61968992764868e-05,up
chr1,195786637,195788664,+,_chr1_002247,0.719928921727897,0.000618008458463831,up
chr1,195879132,195889356,+,_chr1_002253,-1.72497656078968,0.0351421079028813,down
chr1,196425252,196426043,+,_chr1_002268,0.666988813595033,1.08992864044332e-06,up
chr1,197341270,197344723,+,_chr1_002307,-1.20406648188511,0.000505511278295392,down
chr1,200384137,200386686,+,_chr1_002363,-1.23855640629707,0.0371696446703278,down
chr1,200540341,200543331,-,_chr1_002367,3.75741020270322,8.35187783930769e-05,up
chr1,200533401,200533677,-,_chr1_002368,3.05817559443396,4.32175203185314e-05,up
chr1,197487392,197487930,-,_chr1_002435,-2.01079980035279,0.00313146038389963,down
chr1,197486108,197487381,-,_chr1_002436,-1.6799215516901,0.000350366666238472,down
chr1,197478089,197480973,-,_chr1_002437,-1.92491794546566,7.74888538772276e-09,down
chr1,197255185,197257270,-,_chr1_002446,-2.31516611789855,6.9028730617244e-06,down
chr1,197146180,197149219,-,_chr1_002454,1.87338079516392,0.0018654256131241,up
chr1,195807231,195810789,-,_chr1_002477,0.61814634170527,0.000499592294817778,up
chr1,195254695,195256469,-,_chr1_002489,8.95329930985743,2.88728925964656e-10,up
chr1,194878137,194884860,-,_chr1_002506,-1.23566927987456,0.0374334866123285,down
chr1,194768048,194772649,-,_chr1_002512,0.835154390133493,8.78638783198336e-05,up
chr1,194692999,194697219,-,_chr1_002519,-0.813311054790852,0.0152337321147495,down
chr1,194171546,194175202,-,_chr1_002532,-0.764151239861611,0.0155547955815589,down
chr1,193397727,193403119,-,_chr1_002543,1.97029639734574,0.000248551878418473,up
