"set" "map" "mkr" "phys" "gen" "vld" "recombinationRate"
"slat_m" "chr1" "rsf100051656" 295565 0 TRUE NA
"slat_m" "chr1" "rsf100060859" 323134 0 TRUE 5.48
"slat_m" "chr1" "rsf100052743" 562544 0 TRUE 5.42
"slat_m" "chr1" "rsf100028038" 887123 0 TRUE 5.34
"slat_m" "chr1" "rsf100153517" 895995 0 TRUE 5.34
"slat_m" "chr1" "rsf100153518" 897521 0 TRUE 5.34
"slat_m" "chr1" "rsf100149844" 949073 0 TRUE 5.32
"slat_m" "chr1" "rsf100078196" 1264583 0 TRUE 5.25
"slat_m" "chr1" "rsf100032024" 1403749 0 TRUE 5.21
"slat_m" "chr1" "rsf100068953" 1668284 0 TRUE 5.15
"slat_m" "chr1" "rsf100068950" 1669193 0 TRUE 5.15
"slat_m" "chr1" "rsf100068947" 1669607 0 TRUE 5.15
"slat_m" "chr1" "rsf100068945" 1670127 0 TRUE 5.15
"slat_m" "chr1" "rsf100028898" 1836250 0 TRUE 5.12
"slat_m" "chr1" "rsf100028915" 1842938 0 TRUE 5.11
"slat_m" "chr1" "rsf100028918" 1844387 0 TRUE 5.11
"slat_m" "chr1" "rsf100028927" 1855187 0 TRUE 5.11
"slat_m" "chr1" "rsf100148149" 2014579 0 TRUE 5.08
"slat_m" "chr1" "rsf100165426" 2255573 0 TRUE 5.03
"slat_m" "chr1" "rsf100001680" 2337460 0 TRUE 5.01
"slat_m" "chr1" "rsf100045949" 2357219 0 TRUE 5
"slat_m" "chr1" "rsf100094204" 2570158 0 TRUE 4.96
"slat_m" "chr1" "rsf100028179" 2784418 0 TRUE 4.92
"slat_m" "chr1" "rsf100028187" 2787183 0 TRUE 4.92
"slat_m" "chr1" "rsf100028188" 2787580 0 TRUE 4.92
"slat_m" "chr1" "rsf100028192" 2789892 0 TRUE 4.92
"slat_m" "chr1" "rsf100028198" 2796660 0 TRUE 4.91
"slat_m" "chr1" "rsf100052507" 2881781 4.35 TRUE 4.9
