pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_hudson_fst	no_snps
BEL1	POL3	chrY	6299272	6299392	1.0	1
BEL1	POL3	chrY	6299530	6299655	1.0	2
BEL1	POL3	chrY	44029196	44029315	1.0	4
BEL1	POL3	chrY	44351326	44351450	1.0	1
BEL1	POL3	chrY	44351670	44351790	1.0	1
BEL1	POL3	chrY	47468436	47468561	0.9464285714285716	7
BEL1	POL3	chrY	59382889	59382890	NA	1
BEL1	POL3	chrY	62722588	62722712	0.9655172413793104	8
BEL1	POL3	chrY	62722849	62722969	1.0	3
BEL1	POL3	chrY	92181660	92181780	1.0	4
BEL1	POL3	chrY	101960208	101960333	NA	1
BEL1	POL3	chrY	101960513	101960633	1.0	2
BEL1	POL3	chrY	103671304	103671423	0.6334519572953736	14
BEL1	POL3	chrY	113845292	113845409	1.0	5
BEL1	POL3	chrY	130533406	130533508	1.0	3
BEL1	POL3	chrY	164715863	164715988	1.0	1
BEL1	POL3	chrY	164716126	164716246	NA	1
BEL1	POL3	chrY	167666661	167666781	1.0	6
BEL1	POL3	chrY	171355155	171355280	1.0	8
BEL1	POL3	chrY	171355469	171355588	1.0	3
BEL1	POL3	chrY	196399357	196399482	1.0	4
BEL1	POL3	chrY	204723521	204723646	1.0	4
BEL1	POL3	chrY	223162725	223162842	1.0	3
BEL1	POL3	chrY	229191341	229191461	1.0	4
BEL1	POL3	chrY	235710570	235710690	0.9655172413793104	6
BEL1	POL3	chrY	235710786	235710911	1.0	5
BEL1	POL3	chrY	241893580	241893705	1.0	2
BEL1	POL3	chrY	241893886	241894006	1.0	2
BEL1	POL3	chrY	242924654	242924655	0.0	1
BEL1	POL3	chrY	272138407	272138527	1.0	1
BEL1	POL3	chrY	318459547	318459548	0.0	1
BEL1	POL3	chrY	400645481	400645598	0.9803921568627452	11
BEL1	POL3	chrY	410396231	410396350	1.0	4
BEL1	POL3	chrY	410396494	410396619	0.9090909090909092	4
BEL1	POL3	chrY	427240643	427240758	1.0	5
