pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_hudson_fst	no_snps
POL3	FRA1	chr1	14307	14427	0.0263636363636362	8
POL3	FRA1	chr1	14790	14910	0.1944164143962327	7
POL3	FRA1	chr1	15136	15261	NA	4
POL3	FRA1	chr1	324130	324250	0.0395493395493395	8
POL3	FRA1	chr1	324358	324483	0.1984177438722893	10
POL3	FRA1	chr1	451068	451188	-0.0128875720887132	10
POL3	FRA1	chr1	458233	458357	0.1068783068783069	5
POL3	FRA1	chr1	458503	458623	0.3650137741046831	2
POL3	FRA1	chr1	462490	462635	0.0336828946454614	5
POL3	FRA1	chr1	462965	463090	0.3868658574540928	9
POL3	FRA1	chr1	762855	762980	0.0721925133689839	13
POL3	FRA1	chr1	1155449	1155586	0.1678321678321677	6
POL3	FRA1	chr1	1155587	1155695	0.0326030705537346	11
POL3	FRA1	chr1	1155863	1155984	0.0413387009553566	13
POL3	FRA1	chr1	1510222	1510347	0.1508952969627126	19
POL3	FRA1	chr1	1510394	1510514	0.4274855579203405	6
POL3	FRA1	chr1	1676102	1676230	0.1153514079800589	10
POL3	FRA1	chr1	1830874	1830999	0.1153439153439153	10
POL3	FRA1	chr1	1837479	1837599	0.3291740938799762	3
POL3	FRA1	chr1	1837723	1837848	0.4506666666666666	4
POL3	FRA1	chr1	1860283	1860403	-0.0058392959947363	6
POL3	FRA1	chr1	1918458	1918578	-0.0146122534182236	4
POL3	FRA1	chr1	2141895	2142020	0.4135642135642136	6
POL3	FRA1	chr1	2320701	2320826	0.5568047337278107	5
POL3	FRA1	chr1	2320939	2321059	0.0544871794871794	12
POL3	FRA1	chr1	2334392	2334517	0.3522727272727273	10
POL3	FRA1	chr1	2334679	2334799	0.3423898505865719	7
POL3	FRA1	chr1	2606787	2606912	0.2140468227424749	5
POL3	FRA1	chr1	2693178	2693299	0.0286732874968169	9
POL3	FRA1	chr1	2693393	2693513	0.1511538235520136	13
POL3	FRA1	chr1	2863121	2863246	0.4601904119976409	4
POL3	FRA1	chr1	3174459	3174580	0.0404331259946233	4
POL3	FRA1	chr1	3175119	3175244	0.0130319507482137	10
POL3	FRA1	chr1	3189834	3190001	0.0795206658296999	16
POL3	FRA1	chr1	3278825	3278945	0.2513833992094861	4
POL3	FRA1	chr1	3279175	3279300	0.0589778730482248	11
POL3	FRA1	chr1	3666598	3666718	0.0899083439059962	11
POL3	FRA1	chr1	3666874	3666999	-0.0086840269704719	10
POL3	FRA1	chr1	3787414	3787539	0.0	3
POL3	FRA1	chr1	3800214	3800334	0.096774193548387	5
POL3	FRA1	chr1	3800564	3800689	-0.0253592561284869	8
POL3	FRA1	chr1	4070705	4070825	0.1918081918081918	4
POL3	FRA1	chr1	4134086	4134206	0.0952380952380952	4
POL3	FRA1	chr1	4134377	4134502	0.0816326530612245	10
POL3	FRA1	chr1	4212398	4212523	0.2909090909090909	9
POL3	FRA1	chr1	4212665	4212783	0.3810340602793433	16
