pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
POL3	chr1	14651	14776	0.0	97	0	8827	0
BEL1	chr1	14651	14776	0.0	97	0	11640	0
POL3	chr1	85450	85570	0.0032822757111597	120	18	5484	472
BEL1	chr1	85450	85570	0.0072895277207392	120	71	9740	336
POL3	chr1	85633	85758	0.0048732943469785	114	25	5130	456
BEL1	chr1	85633	85758	0.0083410565338276	114	63	7553	454
POL3	chr1	161121	161241	0.0072222222222222	120	39	5400	480
BEL1	chr1	161121	161241	0.0020833333333333	120	7	3360	960
POL3	chr1	161304	161429	0.0016129032258064	124	9	5580	496
BEL1	chr1	161304	161429	0.0086405529953917	124	30	3472	992
BEL1	chr1	298600	298720	0.0156657963446475	107	48	3064	848
POL3	chr1	298600	298720	0.0062010443864229	107	19	3064	634
POL3	chr1	324130	324250	0.017469709777402	117	186	10647	0
BEL1	chr1	324130	324250	0.0080935251798561	117	108	13344	48
POL3	chr1	324358	324483	0.0021978021978021	120	24	10920	0
BEL1	chr1	324358	324483	0.0124314442413162	120	170	13675	50
POL3	chr1	458233	458358	0.0042016806722689	102	12	2856	612
BEL1	chr1	458233	458358	0.0049019607843137	102	14	2856	816
POL3	chr1	458503	458623	0.0030103480714957	120	16	5315	490
BEL1	chr1	458503	458623	0.0	120	0	5400	720
BEL1	chr1	462490	462635	0.0266946191474493	74	191	7155	138
POL3	chr1	462490	462635	0.0259942235058875	74	117	4501	186
POL3	chr1	743218	743338	0.063662038126618	96	541	8498	20
BEL1	chr1	743218	743338	0.0558567051614423	96	474	8486	212
POL3	chr1	762855	762980	0.0113524185587364	108	69	6078	316
BEL1	chr1	762855	762980	0.0053713218122372	108	23	4282	716
POL3	chr1	833851	833976	0.0032520325203252	123	18	5535	492
BEL1	chr1	833851	833976	0.0045841519318926	123	35	7635	538
POL3	chr1	834139	834269	0.0015988630307337	127	9	5629	520
BEL1	chr1	834139	834269	0.0154677142155659	127	126	8146	532
BEL1	chr1	1155449	1155586	0.0035915854284248	122	21	5847	714
