pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_hudson_fst	no_snps
FRA1	POL3	chrY	1940423	1940424	0.0	1
FRA1	POL3	chrY	39090172	39090297	0.7499999999999999	3
FRA1	POL3	chrY	39477539	39477664	0.7500000000000001	1
FRA1	POL3	chrY	47465132	47465252	1.0	1
FRA1	POL3	chrY	74278243	74278358	0.0	1
FRA1	POL3	chrY	79483342	79483459	0.642857142857143	5
FRA1	POL3	chrY	88267853	88267854	0.0	1
FRA1	POL3	chrY	114240087	114240202	1.0	2
FRA1	POL3	chrY	114366914	114367031	0.4166666666666667	3
FRA1	POL3	chrY	114367147	114367272	0.0	1
FRA1	POL3	chrY	127652569	127652570	0.0	1
FRA1	POL3	chrY	148120563	148120682	NA	1
FRA1	POL3	chrY	151072292	151072293	0.5	1
FRA1	POL3	chrY	158777219	158777344	1.0	2
FRA1	POL3	chrY	158795540	158795660	1.0	1
FRA1	POL3	chrY	167666661	167666781	0.1666666666666666	6
FRA1	POL3	chrY	183614070	183614195	0.0	1
FRA1	POL3	chrY	195078542	195078662	0.8000000000000002	4
FRA1	POL3	chrY	201286611	201286736	1.0	2
FRA1	POL3	chrY	202029296	202029297	0.0	1
FRA1	POL3	chrY	209817814	209817934	0.8333333333333334	2
FRA1	POL3	chrY	212052466	212052467	NA	1
FRA1	POL3	chrY	213600491	213600492	NA	1
FRA1	POL3	chrY	235173792	235173793	NA	1
FRA1	POL3	chrY	242924654	242924655	NA	1
FRA1	POL3	chrY	272303874	272303991	0.7500000000000001	1
FRA1	POL3	chrY	272304130	272304255	0.0	1
FRA1	POL3	chrY	295224636	295224756	1.0	2
FRA1	POL3	chrY	295589836	295589837	NA	1
FRA1	POL3	chrY	318459547	318459548	0.0	1
FRA1	POL3	chrY	334379732	334379847	0.3333333333333333	2
FRA1	POL3	chrY	352067335	352067455	1.0	1
FRA1	POL3	chrY	352067583	352067708	0.888888888888889	2
FRA1	POL3	chrY	378049820	378049821	0.1999999999999999	1
FRA1	POL3	chrY	400645481	400645598	0.0	11
FRA1	POL3	chrY	407779207	407779332	1.0	2
FRA1	POL3	chrY	413478709	413478710	0.0	1
FRA1	POL3	chrY	416569409	416569410	NA	1
FRA1	POL3	chrY	424375926	424376051	0.8333333333333334	2
FRA1	POL3	chrY	437443920	437444042	1.0	1
FRA1	POL3	chrY	437444161	437444276	1.0	2
FRA1	POL3	chrY	491986715	491986716	0.0	1
